"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"1","SA","2537977",NA,370,1276.35,37,25.1763888888889,52.4999999999999,43.8655703891678,480,1110,20,TRUE,FALSE,"810","","Market Basket","",c(237046.356054888, 871600.779768813)
"2","SA","2558590",NA,363.183333333333,1023.18333333333,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"","","Belair St at 7-Eleven","",c(238288.04245837, 871060.576897913)
"3","SA","2558591",NA,469.083333333333,1129.08333333333,11,66,66,70.9090909090909,480,1110,20,TRUE,FALSE,"","","Belair St at 7-Eleven","",c(238276.159256453, 871063.151962063)
"4","SA","2558592",NA,363.483333333333,1023.48333333333,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"824","","Belair St at Colonel Bell Drive","",c(238274.866221635, 871261.235364078)
"5","SA","2558593",NA,467.366666666667,1127.36666666667,11,66,66,70.9090909090909,480,1110,20,TRUE,FALSE,"","","Belair St at Belair Hi Rise","",c(238250.192543924, 871377.438584342)
"6","SA","2558594",NA,363.683333333333,1023.68333333333,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"821","","Belair St at Belair Hi Rise","",c(238258.940143158, 871379.48209503)
"7","SA","2558595",NA,466.45,1126.45,11,66,66,70.9090909090909,480,1110,20,TRUE,FALSE,"","","Belair St at Earle St","",c(238222.012639763, 871543.163918874)
"8","SA","2558596",NA,461.233333333333,1121.23333333333,11,66,66,70.9090909090909,480,1110,20,TRUE,FALSE,"","","Belair St at Coventry Cir","",c(238181.506945443, 871831.694640347)
"9","SA","2558597",NA,365.466666666667,1025.46666666667,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"","","Belair St at Coventry Cir","",c(238193.437058277, 871833.33006388)
"10","SA","2558598",NA,365.833333333333,1025.83333333333,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"","","Belair St at Anne Ave","",c(238165.601621727, 872065.401244939)
"11","SA","2558599",NA,366.05,1026.05,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"","","Belair Street and Tucker Drive","",c(238150.264557551, 872201.649064045)
"12","SA","2558600",NA,374.416666666667,1281.95,37,25.2092592592593,51.4916666666666,42.5682797081221,480,1110,20,TRUE,FALSE,"983","","Campanelli Dr at Work Out World","",c(237008.336070741, 872361.987000467)
"13","SA","2558601",NA,375.716666666667,1035.71666666667,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"","","Oak St at Walmart","",c(236759.302272828, 872434.844611038)
"14","SA","2558602",NA,442.266666666667,1102.26666666667,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"980","","Oak St at Walmart","",c(236768.494051464, 872418.362436236)
"15","SA","2558603",NA,442.5,1102.5,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"981","","Oak St in front of Wendys","",c(236872.41004483, 872434.610874615)
"16","SA","2558605",NA,440.3,1100.3,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"977","","Park St across from Canterbury Arms Apts","",c(235822.407270073, 872328.848599423)
"17","SA","2558606",NA,475.6,1135.6,11,66,66,70.9090909090909,480,1110,20,TRUE,FALSE,"989","","Pleasant St at Vincentes","",c(239406.26734058, 870715.485549581)
"18","SA","2558946",NA,327.316666666667,1342.31666666667,28,37.5925925925926,60,42.1428571428571,480,1110,20,TRUE,FALSE,"","","N Main Street and Locust Street","",c(238782.722396712, 873326.408961844)
"19","SA","2584761",NA,440.666666666667,1100.66666666667,11,66,66.0000000000001,70.9090909090909,480,1110,20,FALSE,FALSE,"287","","Oak St Ext and Pearl St","",c(235949.017775054, 872246.887938347)
"20","SA","2584762",NA,441,1101,11,66,66,70.9090909090909,480,1110,20,FALSE,FALSE,"286","","Oak St Ext at 7-Eleven","",c(236115.809593863, 872277.854071744)
"21","SA","2729862",NA,460,1290,29,29.6428571428571,60,59.3975903614458,480,1110,20,TRUE,FALSE,"","","Lisa Dr & Howard St","",c(239952.433256561, 874496.591050087)
"22","SA","2729863",NA,448.483333333333,1272.73333333333,15,58.875,60,59.1544585987261,480,1110,20,TRUE,FALSE,"","","North Quincy St at St Nick Church","",c(241413.718223611, 873889.16195698)
"23","SA","2729864",NA,450.833333333333,1276.26666666667,15,58.9595238095238,60,59.1982245016086,480,1110,20,TRUE,FALSE,"","","Hovendon Ave & Farnham St","",c(240375.734335789, 873789.193207586)
"24","SA","2729865",NA,475.6,1253.4,14,59.8307692307692,60,59.8365132424788,480,1110,20,TRUE,FALSE,"","","Cary Hill Plaza","",c(240454.79191984, 871792.816773342)
