"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"1","SA","2597088",NA,467.930769037112,977.930769037112,5,127.5,141.050317691789,128.823639732902,480,1110,20,FALSE,FALSE,"","","Bridge St & Livingstone Ave","",c(249787.475197983, 922360.360904559)
"2","SA","2597091",NA,528.606961372815,1020,5,122.848259656796,129.1,123.131397555844,480,1110,20,FALSE,FALSE,"","","Montserrat Station","",c(251818.868939762, 923673.623021494)
"3","SA","3460636",NA,498.175665297574,998.175665297574,5,125,134.040460359001,125.600072757362,480,1110,20,FALSE,FALSE,"","","NorthShore Education Consortium","",c(250999.433773062, 924500.485270592)
"4","SA","3460638",NA,500,1000,5,125,134.063703752143,125.600180363024,480,1110,20,FALSE,FALSE,"","","Whole Foods Shopping","",c(250968.791112667, 924912.006523987)
"5","SA","3460639",NA,500.445736911392,1000.17829476456,5,124.933139463291,133.838623205234,125.517542469481,480,1110,20,FALSE,FALSE,"","","133 Brimbal Ave Dialysis","",c(251125.787441375, 925042.037931119)
"6","SA","3460640",NA,501.237764083421,1000.49510563337,5,124.814335387487,133.521599201957,125.371507166895,480,1110,20,FALSE,FALSE,"","","128 Cycles","",c(251290.887812147, 924740.053376817)
"7","SA","3460642",NA,513.777078907823,873.777078907823,4,120,120,120,480,1110,20,FALSE,FALSE,"","","Henry's Food Mart","",c(249787.420998857, 924752.988945128)
"8","SA","3460643",NA,560,945,4,128.333333333333,140,129.415584415584,480,1110,20,FALSE,FALSE,"","","Trask Ln & Folly Hill","",c(248648.68268259, 924391.775206479)
"9","SA","3460645",NA,466.139486219598,976.139486219598,4,170,222,185.294117647059,480,1110,20,FALSE,FALSE,"","","Giles Ave","",c(248988.972600442, 922671.582766286)
"10","SA","3460647",NA,532.157854117344,1027,5,123.710536470664,130.5,124.053984569691,480,1110,20,FALSE,FALSE,"","","Beverly Library","",c(251209.347150261, 922482.617456743)
"11","SA","3460648",NA,570,960,4,130,141,130.897435897436,480,1110,20,FALSE,FALSE,"","","Market Basket","",c(246587.01696141, 922419.174733799)
"12","SA","3460649",NA,507.464825006677,507.464825006677,1,NA,NA,NA,480,1110,20,FALSE,NA,"","","Cabot Plaza","",c(250732.442936524, 923342.886439844)
"13","SA","3461010",NA,517.059321845118,517.059321845118,1,NA,NA,NA,480,1110,20,FALSE,NA,"","","Bass River Tennis Club","",c(250577.793236378, 924839.215831632)
"14","SA","3461011",NA,518.016357725497,518.016357725497,1,NA,NA,NA,480,1110,20,FALSE,NA,"","","Futures Behavioral Therapy","",c(250815.342282298, 924372.25503112)
"15","SA","798299",NA,492,972,12,43.6363636363636,60,52.0666666666667,480,1110,20,FALSE,FALSE,"","","Addison Gilbert Hospital","",c(267270.449156841, 930918.736890669)
"16","SA","798300",NA,486,966,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Annisquam Village Church","",c(267958.489672947, 934881.384709005)
"17","SA","798305",NA,640,1000,4,120,120,120,480,1110,20,FALSE,FALSE,"","","Atlantic St & Moorland Rds","",c(271058.477797771, 929209.947003634)
"18","SA","798312",NA,564,924,7,60,60,60,480,1110,20,FALSE,FALSE,"","","Blackburn Industrial Park","",c(269317.279140336, 931094.197146675)
"19","SA","798314",NA,535,1014,5,119.75,120,119.751565762004,480,1110,20,FALSE,FALSE,"","","Cape Hedge Inn","",c(273752.652888554, 932671.935206424)
"20","SA","798323",NA,588,948,7,60,60,60,480,1110,20,FALSE,FALSE,"","","Curtis - Clark Building","",c(268924.414776678, 929812.049929944)
"21","SA","798325",NA,471,1021,18,32.3529411764706,55,50,480,1110,20,FALSE,FALSE,"","","Dock Square","",c(272364.900940965, 934596.332534343)
"22","SA","798326",NA,500,1045,59,9.39655172413793,27,18.9926605504587,480,1110,20,FALSE,TRUE,"","","Dunkin' Donuts","",c(268985.525390921, 929569.054840488)
"23","SA","798331",NA,551,1031,5,120,120,120,480,1110,20,FALSE,FALSE,"","","East Main St & Rocky Neck Ave","",c(269375.020938198, 928444.336436186)
"24","SA","798338",NA,590,1010,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & Magnolia Ave","",c(264994.807218604, 929206.521671933)
"25","SA","798339",NA,580,1000,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & Concord St","",c(264702.38070496, 929976.214418014)
"26","SA","798340",NA,587,1007,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & Lawrence Mountain Rd","",c(263209.159957266, 930557.721539627)
"27","SA","798341",NA,593,1013,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & Edgewood Rd","",c(266540.67149791, 929565.210716293)
"28","SA","798342",NA,581,1001,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & Fernald St","",c(263474.458710577, 930448.667543921)
"29","SA","798343",NA,585,1005,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & Forest Ln","",c(262617.899502816, 930646.20882843)
"30","SA","798344",NA,588,1008,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & New Way Ln","",c(264430.003444943, 929952.800980519)
"31","SA","798345",NA,584,1004,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & Woodman St","",c(261879.826513424, 930889.237112857)
"32","SA","798346",NA,582,1002,4,140,168,145.714285714286,480,1110,20,FALSE,FALSE,"","","Essex Ave & Sumner St","",c(262669.907640294, 930635.743298736)
