"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"1","SA","2326132",NA,540,1035,16,33,45,38.6363636363636,480,1110,20,FALSE,FALSE,"","","Scituate Library Community Center","",c(263829.265148207, 883641.870678511)
"2","SA","2326135",NA,560,1010,8,64.2857142857143,75,65,480,1110,20,FALSE,FALSE,"","","North Scituate Plaza","",c(259123.16187899, 885694.706691486)
"3","SA","2326136",NA,562,1012,16,30,69,65,480,1110,20,FALSE,FALSE,"","","Lincoln Park","",c(258640.776661634, 885867.841797836)
"4","SA","2559007",NA,525,1005,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Academy Dr - Buzzard's Bay","",c(273548.152243496, 833145.50133093)
"5","SA","2559008",NA,475,1005,6,106,120,113.396226415094,480,1110,20,FALSE,FALSE,"","","Academy Dr - Buzzard's Bay","",c(273550.166542622, 833161.878563068)
"6","SA","2745403",NA,482,1012,6,106,120,113.396226415094,480,1110,20,FALSE,FALSE,"","","CVS Cranberry Hwy","",c(269512.927544088, 834716.648646193)
"7","SA","816087",NA,502,1032,11,53,78,62.6792452830189,480,1110,20,FALSE,FALSE,"","","Cranberry Plaza","OWL_or_WLT",c(269495.726450767, 834542.726972491)
"8","SA","816091",NA,515,995,5,120,120,120,480,1110,20,FALSE,FALSE,"","","Onset Pier","OWL_or_WLT",c(269969.837472395, 832740.669478674)
"9","SA","816096",NA,492,1022,6,106,120,113.396226415094,480,1110,20,FALSE,FALSE,"","","7-Eleven (East Wareham)","OWL",c(271490.613049967, 837765.776276715)
"10","SA","835711",NA,545,995,8,64.2857142857143,75,65,480,1110,20,FALSE,FALSE,"","","Harbor CVS","",c(264044.02865262, 882983.571496117)
"11","SA","835712",NA,547,997,8,64.2857142857143,75,65,480,1110,20,FALSE,FALSE,"","","Village Market","",c(263891.382200137, 882861.529515848)
"12","SA","835713",NA,550,1000,8,64.2857142857143,75,65,480,1110,20,FALSE,FALSE,"","","Widow's Walk Golf Course","",c(263079.44913138, 880999.014616108)
"13","SA","835714",NA,552,1002,8,64.2857142857143,75,65,480,1110,20,FALSE,FALSE,"","","Greenbush MBTA","",c(262260.702200538, 881203.758232586)
"14","SA","835716",NA,570,1020,8,64.2857142857143,75,65,480,1110,20,FALSE,FALSE,"","","Central Park","",c(261495.569618043, 883731.510576434)
"15","SA","835717",NA,575,1025,8,64.2857142857143,75,65,480,1110,20,FALSE,FALSE,"","","Wheeler Park","",c(262946.406275487, 882290.098612055)
"16","WD","2326132",NA,450,1060,20,32.1052631578947,53,47.6983606557377,420,1140,20,FALSE,FALSE,"","","Scituate Library Community Center","",c(263829.265148207, 883641.870678511)
"17","WD","2326135",NA,478,1036,10,62,70.4,62.6200716845878,420,1140,20,FALSE,FALSE,"","","North Scituate Plaza","",c(259123.16187899, 885694.706691486)
"18","WD","2326136",NA,480,1038,20,29.3684210526316,68.4,62.6200716845878,420,1140,20,FALSE,FALSE,"","","Lincoln Park","",c(258640.776661634, 885867.841797836)
"19","WD","2326309",NA,463,1003,10,60,60,60,420,1140,20,FALSE,FALSE,"","","Indian Brook School","",c(279681.589549326, 849256.217089561)
"20","WD","2332197",NA,369,1126,26,30.28,37,31.8956406869221,420,1140,20,FALSE,FALSE,"","","Hannaford Supermarket","",c(231436.315397661, 848514.942249636)
"21","WD","2332283",NA,330,1167,52,16.4117647058824,57,54.168458781362,420,1140,20,TRUE,FALSE,"","","Market Basket","",c(212218.045001094, 849863.319874297)
"22","WD","2383925",NA,370.523865407005,1090.52386540701,13,60,67.468851227807,60.4648644888593,420,1140,20,FALSE,FALSE,"1129","","Plain Street and East Water Street (Eastbound)","",c(234163.125133063, 848429.606366059)
"23","WD","2383928",NA,375.740906770224,1111.80942224993,26,29.4427406191883,46.9314845202923,37.36358225505,420,1140,20,FALSE,FALSE,"1023","","County Street and Karena Drive","",c(236115.626723672, 847916.712625153)
"24","WD","2383936",NA,480,1034,27,21.3076923076923,46,31.6750902527076,420,1140,20,FALSE,FALSE,"1082","","Shaw's","",c(264129.724093956, 834623.763245776)
"25","WD","2383942",NA,415.979827635512,1142.77665260743,11,72.6796824971913,100.5,84.8953310676729,420,1140,20,TRUE,FALSE,"1074","","Pleasant Street and Peck Street","",c(218394.13023428, 855327.907342421)
"26","WD","2383947",NA,423.464909711186,1154.46490971119,11,73.1,100.5,85.4870041039672,420,1140,20,FALSE,FALSE,"1168","","1008 West Main Street","",c(224977.842851939, 856835.102529242)
"27","WD","2383951",NA,475.606026623566,1090.60602662357,14,47.3076923076923,45,49.6471544715471,420,1140,20,FALSE,FALSE,"1139","","Bay Street and Field Street","",c(231786.72689558, 856311.633897009)
"28","WD","2437317",NA,427,1056,22,29.952380952381,34,30.2241653418124,420,1140,20,FALSE,FALSE,"","","Shaw's (Kingston)","",c(267461.654712228, 855847.004014651)
"29","WD","2484309",NA,495,900,2,405,405,405,420,1140,20,FALSE,FALSE,"","","MAP Academy","",c(265392.470603412, 855708.685823103)
"30","WD","2484310",NA,480,920,2,440,440,440,420,1140,20,FALSE,FALSE,"","","Our Lady of Lourdes","",c(260953.482194791, 848637.179297461)
"31","WD","2559007",NA,525,1065,10,60,60,60,420,1140,20,FALSE,FALSE,"","","Academy Dr - Buzzard's Bay","",c(273548.152243496, 833145.50133093)
"32","WD","2559008",NA,475,1005,10,58.8888888888889,60,59.0566037735849,420,1140,20,FALSE,FALSE,"","","Academy Dr - Buzzard's Bay","",c(273550.166542622, 833161.878563068)
"33","WD","2559120",NA,531,1065,9,66.75,78,72.876404494382,420,1140,20,FALSE,FALSE,"","","Wareham Crossing","",c(262856.323644402, 836465.357416065)
"34","WD","2559121",NA,472,1012,10,60,60,60,420,1140,20,FALSE,FALSE,"","","Cromeset Woods","",c(263600.904657321, 833260.156190572)
