"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"1","SA","2392433",NA,527.6,1132.6,11,60.5,60.5,60.5371900826446,480,1110,20,FALSE,FALSE,"","","University Crossing Transit Hub","",c(214480.446458825, 933202.89182009)
"2","SA","2581590",NA,460.316666666667,1150.31666666667,24,30,30,30,480,1110,20,TRUE,FALSE,"","","Middlesex St & Lord Overpass Circle","",c(215147.833882927, 932141.436523386)
"3","SA","2583090",NA,492,1112,22,29.5238095238095,45,37.6258064516129,480,1110,20,FALSE,FALSE,"","","D'Youville Manor","",c(210977.687123402, 932742.757302182)
"4","SA","2729431",NA,501.583333333333,1041.58333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Broadway St & Walker St","",c(213827.098143721, 932422.175544242)
"5","SA","2729432",NA,507,1047,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Broadway St & School St","",c(214266.266729378, 932509.524513038)
"6","SA","2729433",NA,502,1042,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Francis Gate","",c(213963.874536452, 932465.23505369)
"7","SA","2729434",NA,487,1117,22,30,35,31.0285714285714,480,1110,20,FALSE,FALSE,"","","Market Basket Old Ferry Road","",c(211489.937911082, 932376.665154402)
"8","SA","2729436",NA,495,1120,22,29.7619047619048,35,30.6,480,1110,20,FALSE,FALSE,"","","Shedd Park","",c(217322.047032441, 931376.32148118)
"9","SA","2729437",NA,541,1081,7,90,90,90,480,1110,20,FALSE,FALSE,"","","Chelmsford Center","",c(212240.984691258, 927373.041167354)
"10","SA","2730030",NA,504,1104,11,60,60,60,480,1110,20,FALSE,FALSE,"","","Wentworth Ave & Andover St","",c(217333.231738997, 932507.834862343)
"11","SA","2734160",NA,496,1079,20,30.6842105263158,43,36.1766723842196,480,1110,20,FALSE,FALSE,"40","","Radisson Hotel","",c(212456.999018444, 928039.566656931)
"12","SA","2745401",NA,497,1037,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Billerica Business Center","",c(217696.900246484, 928453.543816855)
"13","SA","4147995",NA,514.966666666667,1054.96666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"","","53 Third Ave","",c(222585.257507321, 915304.95955592)
"14","SA","4147996",NA,541.583333333333,1081.58333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"","","53 Third Ave","",c(222591.090951493, 915321.292686034)
"15","SA","4147997",NA,548,1088,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Outside Mitre Facility","",c(222008.80942403, 917366.919710935)
"16","SA","4147998",NA,510,1050,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Outside Mitre Facility","",c(221988.904683959, 917352.30582563)
"17","SA","800711",NA,494,1094,11,60,60,60,480,1110,20,FALSE,FALSE,"","","Andover St & Burnham Rd","",c(218679.059340012, 932873.931786461)
"18","SA","800713",NA,497,1097,11,60,60,60,480,1110,20,FALSE,FALSE,"","","Andover St & Nesmith St","",c(216565.064124464, 932424.014925641)
"19","SA","800715",NA,489,1029,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Andrews St & Moore St","",c(216224.835261527, 930865.066485483)
"20","SA","800725",NA,498.316666666667,1038.31666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Broadway St & School St","",c(214289.770479197, 932524.282700434)
"21","SA","800730",NA,469,1079,11,61,61,61.1475409836066,480,1110,20,FALSE,FALSE,"","","Chelmsford St and Westford St","",c(215083.965772997, 931900.326851822)
"22","SA","800734",NA,530,1070,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Dalton Rd & Steadman St","",c(212847.295152428, 928926.917818748)
"23","SA","800741",NA,545,1085,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Four Corners","",c(208635.098996759, 936803.252105866)
"24","SA","800746",NA,533,1073,7,90,90,90,480,1110,20,FALSE,FALSE,"","","Hampton Inn Technology Drive","",c(206775.056710056, 924765.315700731)
"25","SA","800750",NA,497,1037,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Hildreth St and Bridge St","",c(216156.851277794, 933857.874377001)
"26","SA","800755",NA,420,1152,311,2.36129032258065,7,6.73497267759563,480,1110,20,TRUE,TRUE,"","","Kennedy Center","",c(215218.735775228, 931768.14893841)
"27","SA","800768",NA,481,1086,11,60.5,62.1,60.5173553719008,480,1110,20,FALSE,FALSE,"","","Mammoth Rd & Woodward Ave","",c(213538.808928268, 933483.025078248)
"28","SA","800778",NA,497.333333333333,1037.33333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Mount Vernon St and Bowers St","",c(214284.628748865, 932964.790104455)
"29","SA","800784",NA,496.783333333333,1036.78333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Pawtucket St & Fletcher St","",c(214290.496220396, 933228.642684409)
"30","SA","800788",NA,467,1007,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Pollard St & High St","",c(218190.407646336, 925388.064306104)
"31","SA","800793",NA,527,1067,7,90,90,90,480,1110,20,FALSE,FALSE,"181","","224 Littleton Road","",c(205681.395255118, 923489.25746228)
"32","SA","800801",NA,430,1079,22,30.9047619047619,49,42.5593220338983,480,1110,20,FALSE,FALSE,"850","","Shedd Park","",c(217307.069303354, 931362.872936515)
"33","SA","800803",NA,517.516666666667,1057.51666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Chelmsford Cinema","",c(214498.790622765, 928951.718121566)
"34","SA","800810",NA,442,1042,11,60,60,60,480,1110,20,FALSE,FALSE,"","","Tewksbury Town Hall","",c(221858.984923703, 929093.376791252)
"35","SA","800815",NA,491,1031,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Tsongas Arena (French St)","",c(215276.517211611, 933094.88384538)
"36","SA","800825",NA,492,1092,11,60,60,60,480,1110,20,FALSE,FALSE,"","","Wentworth Ave & Andover St","",c(217348.945138593, 932494.44516578)
"37","SA","800829",NA,512,1071,14,43,71,58.6279069767442,480,1110,20,FALSE,FALSE,"","","Westford Valley Market Place","",c(206414.854452741, 924027.034401141)
"38","SA","800833",NA,561,1101,7,90,90,90,480,1110,20,FALSE,FALSE,"","","Gorham St and Carlisle St","",c(216423.01725174, 928217.556682952)
"39","SA","802637",NA,495,1105,11,61,61,61.1475409836066,480,1110,20,FALSE,FALSE,"","","Chelmsford St & Westford St","",c(215005.880116733, 931912.470706788)
"40","SA","803702",NA,552,1092,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Bedford Springs Apartments","",c(221592.023909791, 917921.464667702)
"41","SA","804915",NA,565,1105,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Lakeview Ave and Mammoth Road","",c(211908.14376539, 936894.81238245)
"42","SA","805127",NA,509,1049,7,90,90,90,480,1110,20,FALSE,FALSE,"","","Hampton Inn Technology Drive","",c(206766.322767302, 924776.704208631)
"43","SA","805136",NA,506,1046,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Dalton Rd & Steadman St","",c(212844.143579093, 928912.921881889)
"44","SA","805144",NA,480,1080,11,60,60,60,480,1110,20,FALSE,FALSE,"","","LGH & Technology Drive","",c(210988.856552268, 930791.379092737)
"45","SA","814366",NA,481,1110,22,29.952380952381,31,29.9856915739269,480,1110,20,FALSE,FALSE,"3","","Hannafords Plaza","",c(218210.956960528, 930960.377178284)
"46","SA","814367",NA,493.466666666667,1033.46666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"4","","Chelmsford Rd & Boston Rd","",c(217007.140693004, 925995.003662078)
"47","SA","814369",NA,459.283333333333,1059.28333333333,11,60,60,60,480,1110,20,FALSE,FALSE,"7","","Main St & Marjorie Rd","",c(225591.319165618, 924477.759210538)
"48","SA","814370",NA,464.316666666667,1064.31666666667,11,60,60,60,480,1110,20,FALSE,FALSE,"8","","Mission Rd & Dunstable Rd","",c(208364.407752937, 932747.919990783)
"49","SA","814371",NA,508,1068,20,29.4736842105263,40,32.8571428571429,480,1110,20,FALSE,FALSE,"9","","Chelmsford Arms","",c(212348.723759473, 929848.725291889)
"50","SA","814372",NA,501.366666666667,1041.36666666667,7,90,90,90,480,1110,20,FALSE,FALSE,"10","","Billerica Rd & Chelmsford St","",c(212252.886303968, 927387.063634244)
"51","SA","814373",NA,500,1076,20,30.3157894736842,36,31.5,480,1110,20,FALSE,FALSE,"11","","Marshall's Plaza","",c(212408.081602074, 927090.468505674)
"52","SA","814374",NA,535,1075,7,90,90,90,480,1110,20,FALSE,FALSE,"12","","Nashoba Tech","",c(207409.838327067, 924588.003587898)
"53","SA","814375",NA,469.7,1069.7,11,60,60,60,480,1110,20,FALSE,FALSE,"13","","Tyngsboro Rd & Wellman Ave","",c(208921.479194325, 932647.614796576)
"54","SA","814376",NA,507,1047,7,90,90,90,480,1110,20,FALSE,FALSE,"14","","Nashoba Tech","",c(207289.040747938, 924548.825034763)
"55","SA","814378",NA,524.983333333333,1064.98333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"16","","Gorham St & Lincoln St","",c(215761.035495859, 930806.731807607)
"56","SA","814379",NA,452.066666666667,1021.63333333333,17,35.5979166666667,60,48.6693529193734,480,1110,20,FALSE,FALSE,"17","","Gorham St & London St","",c(215760.987564037, 930766.401191431)
"57","SA","814380",NA,539.483333333333,1079.48333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"18","","Chelmsford St & Independence Dr","",c(212663.378240976, 928088.319133224)
"58","SA","814381",NA,498.266666666667,1061.86666666667,20,29.6631578947368,36.4,31.0401703335699,480,1110,20,FALSE,FALSE,"19","","Bridge St & 18th St","",c(216118.043205005, 934525.864712564)
"59","SA","814382",NA,531.116666666667,1071.11666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"20","","Dalton Rd & Field St","",c(212223.154843265, 928558.704850148)
"60","SA","814383",NA,452.283333333333,1021.8,17,35.5947916666667,60,48.6377986206627,480,1110,20,FALSE,FALSE,"21","","Gorham St & Manchester St","",c(215802.660967896, 930630.933056387)
"61","SA","814384",NA,524.55,1064.55,10,60,60,60,480,1110,20,FALSE,FALSE,"22","","Gorham St & Manchester St","",c(215818.991773099, 930628.192836571)
"62","SA","814385",NA,490.183333333333,1030.18333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"23","","Lawrence St & Billerica St","",c(216873.950555446, 930561.01713252)
"63","SA","814386",NA,525.583333333333,1065.58333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"24","","109 Arlington","",c(216517.457894505, 935573.142216295)
"64","SA","814387",NA,470.883333333333,1040.4,20,29.9745614035088,30.4833333333333,29.9823334601465,480,1110,20,FALSE,FALSE,"26","","Concord Rd & Blanchard Ave","",c(218930.572501483, 923170.623315736)
"65","SA","814389",NA,480.733333333333,1080.73333333333,11,60,60,60,480,1110,20,FALSE,FALSE,"28","","11 Technology","",c(211272.706008685, 930777.24853092)
