"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"1","SA","2448720",NA,489,1119,33,19.6875,44.6,31.0825396825397,480,1110,20,FALSE,FALSE,"802612","","Anna Jacques Hospital","",c(249782.178761207, 951645.964288366)
"2","SA","2448721",NA,435.95,1095.95,12,60,60,60,480,1110,20,FALSE,FALSE,"798448","","Greater Lawrence Technical School","",c(224889.578995886, 937753.998630487)
"3","SA","2448723",NA,430,1090,12,60,60,60,480,1110,20,FALSE,FALSE,"798434","","S Broadway & Mt Vernon Street","",c(228160.891076674, 937302.698659872)
"4","SA","2448725",NA,444,1104,12,60,60,60,480,1110,20,FALSE,FALSE,"802590","","Prospect Street & E Haverhill Street","",c(228284.740627928, 940825.799687592)
"5","SA","2448726",NA,427,1087,12,60,60,60,480,1110,20,FALSE,FALSE,"798520","","Washington Street & Lowell Ave","",c(232153.455822551, 947102.93108891)
"6","SA","2448729",NA,425,1085,12,60,60,60,480,1110,20,FALSE,FALSE,"798499","","S Union Street & Market Street","",c(228386.568316369, 938988.363233144)
"7","SA","2448730",NA,449,1109,12,60,60,60,480,1110,20,FALSE,FALSE,"802565","","Hilldale Avenue & Monument Street","",c(232389.567787231, 948972.013749243)
"8","SA","2448732",NA,446,1106,12,60,60,60,480,1110,20,FALSE,FALSE,"798440","","Courtyard Marriott","",c(224689.59026317, 938271.502087119)
"9","SA","2448734",NA,444,1104,12,60,60,60,480,1110,20,FALSE,FALSE,"802591","","Water Street & Ames Street","",c(226239.883316374, 938297.630240767)
"10","SA","2448735",NA,451,1111,12,60,60,60,480,1110,20,TRUE,FALSE,"802578","","N Main Street & Balmoral","",c(228688.811048314, 935686.55937324)
"11","SA","2448736",NA,490,1135,47,14.0217391304348,31.5,22.3364341085271,480,1110,20,FALSE,FALSE,"798492","","Port Plaza","",c(248507.279101005, 952279.602260764)
"12","SA","2448737",NA,438,1103,24,28.9130434782609,55,50.4887218045113,480,1110,20,FALSE,FALSE,"798454","","Holy Family Hospital","",c(227202.767847917, 941992.339633397)
"13","SA","2448738",NA,435,1108,24,29.2608695652174,47,39.1188707280832,480,1110,20,FALSE,FALSE,"798498","","Rivers Edge Plaza - Building 19","",c(237829.514781735, 945965.290048843)
"14","SA","2448741",NA,426,1086,12,60,60,60,480,1110,20,FALSE,FALSE,"798488","","Andover Street & Winthrop Street","",c(228079.288182745, 938305.849594821)
"15","SA","2448747",NA,425,1085,12,60,60,60,480,1110,20,FALSE,FALSE,"798456","","Jackson Street & Swan Street","",c(227987.522982506, 941332.18328666)
"16","SA","2448748",NA,429,1089,12,60,60,60,480,1110,20,FALSE,FALSE,"798528","","Hilldale Avenue & Monument Street","",c(232387.305814173, 948986.53736838)
"17","SA","2448751",NA,443,1103,24,28.695652173913,60,60,480,1110,20,FALSE,FALSE,"798516","","Methuen Plaza - Walmart","",c(227429.829327366, 943629.873889241)
"18","SA","2448754",NA,483,1117,19,35.2222222222222,66,62.9211356466877,480,1110,20,FALSE,FALSE,"798479","","Newburyport MBTA Station","",c(250860.563509446, 949850.388269598)
"19","SA","2448755",NA,454,1114,12,60,60,60,480,1110,20,TRUE,FALSE,"798530","","Summer Street & Union Street","",c(228407.166791357, 940065.48858046)
"20","SA","2448756",NA,450,1110,12,60,60,60,480,1110,20,TRUE,FALSE,"798491","","Merrimack Street & Pleasant Valley Street","",c(230340.406314127, 944032.899006209)
"21","SA","2448758",NA,510,1164,20,34.4210526315789,46,37.9266055045872,480,1110,20,FALSE,FALSE,"798469","","Merri Village","",c(240802.8520617, 953289.851352844)
"22","SA","2448761",NA,437,1097,24,28.695652173913,60,60,480,1110,20,FALSE,FALSE,"798423","","Marston Street & Allston Street","",c(229528.937875147, 940399.812656297)
"23","SA","2448763",NA,445,1105,12,60,60,60,480,1110,20,FALSE,FALSE,"812013","","Hadley West Apartments","",c(231881.472102431, 947106.669065475)
"24","SA","2448764",NA,425,1085,12,60,60,60,480,1110,20,FALSE,FALSE,"798467","","McGovern Transportation Center","",c(228433.863032926, 939146.890266987)
"25","SA","2448766",NA,435,1115,24,29.5652173913043,40,32.9411764705882,480,1110,20,TRUE,FALSE,"798511","","Stateline Plaza - TJ Maxx","",c(232345.480287918, 951771.211447611)
"26","SA","2448767",NA,420,1123,36,20.0857142857143,40,31.9871977240398,480,1110,20,TRUE,FALSE,"802558","","Buckley Transportation Center","For Rt 33 use only",c(227557.936991543, 939779.554204517)
"27","SA","2448769",NA,445,1105,12,60,60,60,480,1110,20,FALSE,FALSE,"802598","","Plaza 114","",c(228703.395309665, 937796.314537072)
"28","SA","2448770",NA,441,1101,24,28.695652173913,60,60,480,1110,20,FALSE,FALSE,"798495","","Marriott Springhill Suites","",c(223507.515460182, 938500.22614967)
"29","SA","2448772",NA,452,1112,12,60,60,60,480,1110,20,TRUE,FALSE,"802592","","White Street & Maple St","",c(227359.421448177, 940270.932159409)
"30","SA","2448775",NA,460,1090,10,70,70,70,480,1110,20,FALSE,FALSE,"798501","","Salisbury Center","",c(252397.103299683, 954744.350294652)
"31","SA","2448778",NA,430,1090,12,60,60,60,480,1110,20,FALSE,FALSE,"802560","","Merrimack Street & Pleasant Valley Street","",c(230322.632017535, 944029.614646308)
"32","SA","2448780",NA,512,1153,39,16.8684210526316,54,42.6193447737909,480,1110,20,FALSE,FALSE,"798439","","Nicholas J. Costello Transportation Center","",c(246774.634010254, 956524.364554669)
"33","SA","2448782",NA,455,1115,12,60,60,60,480,1110,20,TRUE,FALSE,"798497","","River Street & Lowell Ave","",c(231418.475448727, 946933.273111011)
"34","SA","2448783",NA,426,1109,24,29.695652173913,37,31.3426061493411,480,1110,20,FALSE,FALSE,"798460","","Lawrence General Hospital - Main Entrance","",c(228711.501432114, 939938.42583782)
"35","SA","2448784",NA,420,1080,12,60,60,60,480,1110,20,FALSE,FALSE,"2435109","","Buckley Transportation Center","",c(227613.045768456, 939769.030275985)
"36","SA","2448785",NA,435,1107,47,14.6086956521739,48,40.0357142857143,480,1110,20,FALSE,FALSE,"798472","","Merrimack Plaza - Rite-Aid Pharmacy","",c(224614.983998684, 939436.275332137)
"37","SA","2448786",NA,428,1088,12,60,60,60,480,1110,20,FALSE,FALSE,"798465","","Main Street & Sutton Street","",c(230046.729994881, 939541.054379482)
"38","SA","2448787",NA,438,1098,12,60,60,60,480,1110,20,FALSE,FALSE,"798461","","Main Street & Central Street","",c(229431.921806049, 934053.898151895)
"39","SA","2448788",NA,560,965,4,135,171,145,480,1110,20,FALSE,FALSE,"818775","","James Steam Mill","",c(252159.317653759, 951091.858573099)
"40","SA","2448789",NA,423,1083,12,60,60,60,480,1110,20,FALSE,FALSE,"798441","","Currier Square","",c(233275.494507971, 946776.733622982)
"41","SA","2448792",NA,451,1111,12,60,60,60,480,1110,20,TRUE,FALSE,"802593","","Elm Towers","",c(227267.996980425, 940120.710038427)
"42","SA","2448796",NA,433,1093,12,60,60,60,480,1110,20,FALSE,FALSE,"798519","","Ward Hill Industrial Park East","",c(231501.801860258, 945501.926737194)
"43","SA","2448799",NA,445,1105,24,28.695652173913,60,60,480,1110,20,FALSE,FALSE,"798525","","Woodridge Housing","",c(230175.240372714, 937027.547074604)
"44","SA","2448801",NA,435,1095,12,60,60,60,480,1110,20,FALSE,FALSE,"798438","","Chickering Road & Peters Street","",c(230725.254739708, 936323.241162247)
"45","SA","2448802",NA,490,1090,11,60,60,60,480,1110,20,FALSE,FALSE,"2394656","","United Linen & La Frutería Market","",c(226340.34691142, 940268.193613586)
"46","SA","2448804",NA,445,1105,24,28.695652173913,60,60,480,1110,20,FALSE,FALSE,"798515","","Target Plaza","",c(227781.559718108, 943401.438407521)
"47","SA","2448807",NA,451,1111,12,60,60,60,480,1110,20,TRUE,FALSE,"802566","","Currier Square","",c(233292.873006759, 946769.202938311)
"48","SA","2448808",NA,494,1094,11,60,60,60,480,1110,20,FALSE,FALSE,"798536","","Broadway & Essex Street","",c(227173.052753781, 939417.157061346)
"49","SA","2448809",NA,425,1085,12,60,60,60,480,1110,20,FALSE,FALSE,"802561","","River Street & Lowell Ave","",c(231454.08589701, 946922.607051216)
"50","SA","2448810",NA,454,1114,12,60,60,60,480,1110,20,TRUE,FALSE,"802577","","S Broadway & Mt Vernon Street","",c(228154.346206455, 937344.90913734)
"51","SA","2448812",NA,425,1085,12,60,60,60,480,1110,20,FALSE,FALSE,"798444","","Elm Towers","",c(227299.307798293, 940140.054197912)
