"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","stop_name","stop_desc","geometry"
"1","SA","0102c992-9895-4ccf-8ea1-d469fefb1dc1",NA,537,981,13,37,80.9,67.8378378378378,480,1110,20,FALSE,FALSE,"MB22","Newton and Weed St","",c(195826.156022113, 899507.210616784)
"2","SA","0895529e-8620-49e2-96b7-b2bc7482193b",NA,500,966,6,93.2,99.4,93.5751072961373,480,1110,20,FALSE,FALSE,"N57","Avenu at Natick","",c(209910.740141996, 894510.581031102)
"3","SA","08bddd79-9213-464e-bbb5-226afb92a77a",NA,554.433333333333,972.066666666667,8,59.6619047619048,60,59.6734003777902,480,1110,20,FALSE,FALSE,"N38","Mathworks Lakeside","",c(210236.695661102, 894691.592103126)
"4","SA","0a4cc4a9-cd68-46f2-b3ed-28b2147f14fd",NA,495,1044,14,42.2307692307692,91,85.6994535519126,480,1110,20,FALSE,FALSE,"F58","Halstead Apartments Rear Parking","",c(202406.227355551, 893679.645416084)
"5","SA","0a959b0e-7d4c-4b4c-90b0-72ee387a9387",NA,559.366666666667,954.566666666667,7,65.8666666666667,67.6,65.9236842105263,480,1110,20,FALSE,FALSE,"F19","Vernon St & Pleasant St","",c(205269.960481652, 894482.462621346)
"6","SA","0c31e628-5b24-44fa-808c-f24b81e1edb3",NA,559,995,8,62.2857142857143,95.8,74.9403669724771,480,1110,20,FALSE,FALSE,"S3","Downtown Southborough","",c(197854.416075847, 895030.363432209)
"7","SA","0d563411-d457-4657-9811-baaf24b4cea7",NA,600.583333333333,998.583333333333,4,132.666666666667,134.6,132.698492462312,480,1110,20,FALSE,FALSE,"S8","Central St & Route 30","",c(199207.911542213, 894633.539181005)
"8","SA","1960ce3a-fc28-4f04-901e-25703c6a0f40",NA,602,1002,7,66.6666666666667,70,66.875,480,1110,20,FALSE,FALSE,"F42","Arsenal Rd","",c(207368.090992165, 893918.024406598)
"9","SA","1b9378ff-35b5-4642-ba52-662ba5384f4a",NA,578,1035,11,45.7,48.1,45.7483588621444,480,1110,20,FALSE,FALSE,"F65","Arlington St/Waushakum St","",c(206803.474908625, 891197.669129719)
"10","SA","1bdefae5-45ed-4fe7-ab0f-d92b7e1a4320",NA,572,996,8,60.5714285714286,61.6,60.6037735849057,480,1110,20,FALSE,FALSE,"F72","Route 9/Beacon St","",c(207519.052471214, 894205.965926516)
