DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
SA,2537977,NA,370,1276.35,37,25.176388888888887,75,52.49999999999994,480,1110,20,TRUE,FALSE,810,,Market Basket,,42.0939424100117,-71.0521779590374
SA,2558590,NA,363.18333333333334,1023.1833333333333,11,66,120,65.99999999999997,480,1110,20,FALSE,FALSE,,,Belair St at 7-Eleven,,42.0890192378145,-71.0372039831261
SA,2558591,NA,469.0833333333333,1129.0833333333333,11,66,120.00000000000006,65.99999999999999,480,1110,20,TRUE,FALSE,,,Belair St at 7-Eleven,,42.0890430017549,-71.037347446367
SA,2558592,NA,363.48333333333335,1023.4833333333333,11,66,120,65.99999999999997,480,1110,20,FALSE,FALSE,824,,Belair St at Colonel Bell Drive,,42.0908264282866,-71.0373500887019
SA,2558593,NA,467.3666666666667,1127.3666666666666,11,65.99999999999999,120,65.99999999999997,480,1110,20,TRUE,FALSE,,,Belair St at Belair Hi Rise,,42.0918738210717,-71.0376407136902
SA,2558594,NA,363.68333333333334,1023.6833333333333,11,66,120,65.99999999999997,480,1110,20,FALSE,FALSE,821,,Belair St at Belair Hi Rise,,42.0918917920265,-71.0375348429231
SA,2558595,NA,466.45,1126.45,11,66,120.00000000000006,65.99999999999999,480,1110,20,TRUE,FALSE,,,Belair St at Earle St,,42.0933672360021,-71.0379704879999
SA,2558596,NA,461.23333333333335,1121.2333333333333,11,66,120,65.99999999999997,480,1110,20,TRUE,FALSE,,,Belair St at Coventry Cir,,42.0959668778419,-71.0384412401456
SA,2558597,NA,365.46666666666664,1025.4666666666667,11,66,120,66.00000000000003,480,1110,20,FALSE,FALSE,,,Belair St at Coventry Cir,,42.0959810203931,-71.0382969182768
SA,2558598,NA,365.8333333333333,1025.8333333333333,11,66,120,66.00000000000003,480,1110,20,FALSE,FALSE,,,Belair St at Anne Ave,,42.0980717330231,-71.0386182268475
SA,2558599,NA,366.05,1026.05,11,66,120,65.99999999999997,480,1110,20,FALSE,FALSE,,,Belair Street and Tucker Drive,,42.0992991302205,-71.0387947261961
SA,2558600,NA,374.4166666666667,1281.95,37,25.20925925925926,77.01666666666665,51.491666666666646,480,1110,20,TRUE,FALSE,983,,Campanelli Dr at Work Out World,,42.1007974253946,-71.0525892765412
SA,2558601,NA,375.71666666666664,1035.7166666666667,11,66,120,66.00000000000003,480,1110,20,FALSE,FALSE,,,Oak St at Walmart,,42.1014650900537,-71.0555953164039
SA,2558602,NA,442.26666666666665,1102.2666666666667,11,66,120,65.99999999999997,480,1110,20,FALSE,FALSE,980,,Oak St at Walmart,,42.1013162683481,-71.0554852320682
SA,2558603,NA,442.5,1102.5,11,66,120,65.99999999999997,480,1110,20,FALSE,FALSE,981,,Oak St in front of Wendys,,42.1014576719014,-71.0542279300879
SA,2558605,NA,440.3,1100.3,11,66,119.99999999999994,65.99999999999997,480,1110,20,FALSE,FALSE,977,,Park St across from Canterbury Arms Apts,,42.1005541855009,-71.0669282965253
SA,2558606,NA,475.6,1135.6,11,65.99999999999999,120,65.99999999999997,480,1110,20,TRUE,FALSE,989,,Pleasant St at Vincentes,,42.085856927803,-71.0237113207461
SA,2558946,NA,327.31666666666666,1342.3166666666666,28,37.59259259259259,75,60,480,1110,20,TRUE,FALSE,,,N Main Street and Locust Street,,42.1093943797746,-71.031074231851
SA,2584761,NA,440.6666666666667,1100.6666666666667,11,66,119.99999999999994,66.00000000000007,480,1110,20,FALSE,FALSE,287,,Oak St Ext and Pearl St,,42.0998104880103,-71.0654027254259
SA,2584762,NA,441,1101,11,66,120,65.99999999999997,480,1110,20,FALSE,FALSE,286,,Oak St Ext at 7-Eleven,,42.1000816101213,-71.0633844534783
SA,2729862,NA,460,1290,29,29.642857142857142,60,60,480,1110,20,TRUE,FALSE,,,Lisa Dr & Howard St,,42.1198708177261,-71.0168512959149
SA,2729863,NA,448.48333333333335,1272.7333333333333,15,58.875,60,60,480,1110,20,TRUE,FALSE,,,North Quincy St at St Nick Church,,42.1143262280262,-70.9992233584903
SA,2729864,NA,450.8333333333333,1276.2666666666667,15,58.95952380952381,60,60,480,1110,20,TRUE,FALSE,,,Hovendon Ave & Farnham St,,42.1134803827065,-71.0117813501673
SA,2729865,NA,475.6,1253.4,14,59.830769230769235,60.000000000000114,60,480,1110,20,TRUE,FALSE,,,Cary Hill Plaza,,42.09550280973,-71.0109638185304
SA,2734703,NA,453.03333333333336,1036.3,11,58.32666666666666,60,60,480,1110,20,FALSE,FALSE,,,North Main St at Washburn Heights Housing,,42.108633,-71.030131
SA,2734704,NA,470.4166666666667,1063.0166666666667,11,59.26,60,60,480,1110,20,FALSE,FALSE,,,North Main St at Guardian Rehabilitation Center,,42.106306,-71.027223
SA,2734705,NA,467.81666666666666,1059.7833333333333,11,59.196666666666665,60,60,480,1110,20,FALSE,FALSE,,,North Main St. @ Field House Daycare,,42.112036,-71.03312
SA,2734706,NA,457.7,1282.1333333333334,15,58.88809523809525,60.000000000000114,60,480,1110,20,TRUE,FALSE,,,Main St at Hayward Ave,,42.049914,-71.011246
SA,2735481,NA,450.53333333333336,1273.1666666666667,15,58.75952380952381,60.000000000000114,60,480,1110,20,TRUE,FALSE,,,Westgate Dt at Reynolds Hwy,,42.0900005599165,-71.0481771365626
SA,2735484,NA,476.3,1250.3833333333334,14,59.5448717948718,60.000000000000114,60,480,1110,20,TRUE,FALSE,,,Pleasant St at Newbury St,,42.0868030398076,-71.0279726412381
SA,2735485,NA,490.48333333333335,1270.4833333333333,14,60,60,60,480,1110,20,FALSE,FALSE,,,Clifton Ave at Main St,,42.0601692120807,-71.0145054121347
SA,2735486,NA,469.8666666666667,1242.3333333333333,14,59.42051282051281,60,60,480,1110,20,TRUE,FALSE,,,Warren Ave and West Chestnut St,,42.0634251079602,-71.0192276536911
SA,2735487,NA,470.65,1243.3166666666666,14,59.43589743589743,60,60,480,1110,20,TRUE,FALSE,,,Warren Ave and Calmar St,,42.0654758440865,-71.0197318833026
SA,2735488,NA,471.8,1244.7666666666667,14,59.45897435897436,60,60,480,1110,20,TRUE,FALSE,,,Warren Ave and Tribou St,,42.0684695169595,-71.0204444159827
SA,2735489,NA,473.1166666666667,1246.4,14,59.48333333333334,60.000000000000114,60,480,1110,20,TRUE,FALSE,,,Warren Ave and Florence St,,42.0718962621122,-71.0210540016126
SA,2735490,NA,474.2,1247.75,14,59.503846153846155,60,60,480,1110,20,TRUE,FALSE,,,Warren Ave and Dover St,,42.074724226686,-71.0215437972069
SA,2735491,NA,475.1333333333333,1248.9333333333334,14,59.52307692307693,60.000000000000114,60,480,1110,20,TRUE,FALSE,,,Warren Ave and West Park St,,42.0771927547195,-71.0219873223601
SA,2735492,NA,321.9,1336.9,42,24.75609756097561,75,50.76666666666665,480,1110,20,TRUE,FALSE,,,Main St and Church St,,42.0835649060204,-71.0197483025314
SA,2738221,NA,466.1666666666667,1237.7166666666667,14,59.35,60,60,480,1110,20,TRUE,FALSE,,,Main St and Brookside Ave,,42.0572261309179,-71.01320203679
SA,2738222,NA,465.6666666666667,1237.0833333333333,14,59.339743589743584,60,60,480,1110,20,TRUE,FALSE,,,Main St and Watson St,,42.0560871346366,-71.0128107711042
SA,2738223,NA,465.35,1236.7,14,59.33461538461539,60,60,480,1110,20,TRUE,FALSE,,,Main St and Holmes St,,42.0552325712218,-71.0124483018012
SA,2738224,NA,467.8666666666667,1239.8333333333333,14,59.38205128205128,60,60,480,1110,20,TRUE,FALSE,,,Main St and Clifton Ave - CVS,,42.0604141657516,-71.0142355226077
SA,2738225,NA,467.6333333333333,1239.55,14,59.378205128205124,60,60,480,1110,20,TRUE,FALSE,,,Main St - Teen Challenge,,42.0598867145515,-71.0140801989608
SA,2738226,NA,470.43333333333334,1243.05,14,59.432051282051276,60,60,480,1110,20,TRUE,FALSE,,,Main St and Calmar St,,42.0663377401207,-71.016372931095
SA,2738227,NA,471.1666666666667,1243.9666666666667,14,59.44615384615385,60,60,480,1110,20,TRUE,FALSE,,,Main St and Nilsson St,,42.0680269577266,-71.0169658681449
SA,2738228,NA,476.45,1250.5666666666666,14,59.547435897435896,60,60,480,1110,20,TRUE,FALSE,,,Main St and Maple Ave,,42.0801708229309,-71.0200713133376
SA,2738280,NA,474.71666666666664,1248.3833333333334,14,59.512820512820525,60.000000000000114,60,480,1110,20,TRUE,FALSE,,,Belmont St and New Arnone School,,42.0796709718404,-71.0241083048382
SA,2740072,NA,477.06666666666666,1251.3333333333333,14,59.55897435897435,60,60,480,1110,20,TRUE,FALSE,,,Crescent St and Otis St,,42.0807976096259,-71.0140363977136
SA,2740073,NA,442.78333333333336,1263.4833333333333,15,58.621428571428574,60,60,480,1110,20,TRUE,FALSE,,,Crescent St and Brockton Day Nursery,,42.0803838944092,-71.0129432168714
SA,2740074,NA,446.8333333333333,1268.5333333333333,15,58.69285714285714,60,60,480,1110,20,TRUE,FALSE,,,Centre St and Hill St,,42.0847639005012,-70.9994449634259
