DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
SA,2448720,NA,489,1119,33,19.6875,45,44.60000000000001,480,1110,20,FALSE,TRUE,802612,,Anna Jacques Hospital,,42.81382739419,-70.8913251900117
SA,2448721,NA,435.95,1095.95,12,60.00000000000001,60.00000000000006,60,480,1110,20,FALSE,FALSE,798448,,Greater Lawrence Technical School,,42.689975,-71.196282
SA,2448723,NA,430,1090,12,60,60,60,480,1110,20,FALSE,FALSE,798434,,S Broadway & Mt Vernon Street,,42.685800693313,-71.156386023314
SA,2448725,NA,444,1104,12,60,60,60,480,1110,20,FALSE,FALSE,802590,,Prospect Street & E Haverhill Street,,42.7175106573955,-71.1547008245716
SA,2448726,NA,427,1087,12,60,60,60,480,1110,20,FALSE,FALSE,798520,,Washington Street & Lowell Ave,,42.7738649277952,-71.1071193386231
SA,2448729,NA,425,1085,12,60,60,60,480,1110,20,FALSE,FALSE,798499,,S Union Street & Market Street,,42.7009666347536,-71.1535488392868
SA,2448730,NA,449,1109,12,60,60,60,480,1110,20,FALSE,FALSE,802565,,Hilldale Avenue & Monument Street,,42.790679819384,-71.104128350857
SA,2448732,NA,446,1106,12,60,60,60,480,1110,20,FALSE,FALSE,798440,,Courtyard Marriott,,42.6946399021029,-71.1987000588608
SA,2448734,NA,444,1104,12,60,60,60,480,1110,20,FALSE,FALSE,802591,,Water Street & Ames Street,,42.694824260271,-71.17978
SA,2448735,NA,451,1111,12,60,60,60,480,1110,20,TRUE,FALSE,802578,,N Main Street & Balmoral,,42.6712330021962,-71.1500254244328
SA,2448736,NA,490,1135,47,14.021739130434783,36,31.5,480,1110,20,FALSE,TRUE,798492,,Port Plaza,,42.8196118417146,-70.9068587011105
SA,2448737,NA,438,1103,24,28.91304347826087,55,55,480,1110,20,FALSE,FALSE,798454,,Holy Family Hospital,,42.728050295523,-71.1678539211678
SA,2448738,NA,435,1108,24,29.26086956521739,47,47,480,1110,20,FALSE,FALSE,798498,,Rivers Edge Plaza - Building 19,,42.7633682234569,-71.0378405740662
SA,2448741,NA,426,1086,12,60,60,60,480,1110,20,FALSE,FALSE,798488,,Andover Street & Winthrop Street,,42.6948339080297,-71.1573325423279
SA,2448747,NA,425,1085,12,60,60,60,480,1110,20,FALSE,FALSE,798456,,Jackson Street & Swan Street,,42.722079799785,-71.158304444111
SA,2448748,NA,429,1089,12,60,60,60,480,1110,20,FALSE,FALSE,798528,,Hilldale Avenue & Monument Street,,42.790810649166,-71.104155172947
SA,2448751,NA,443,1103,24,28.695652173913043,60,60,480,1110,20,FALSE,FALSE,798516,,Methuen Plaza - Walmart,,42.742783,-71.165003
SA,2448754,NA,483,1117,19,35.22222222222222,70,66,480,1110,20,FALSE,FALSE,798479,,Newburyport MBTA Station,,42.7975947234554,-70.8783005138779
SA,2448755,NA,454,1114,12,60,60,60,480,1110,20,TRUE,FALSE,798530,,Summer Street & Union Street,,42.710662,-71.153244
SA,2448756,NA,450,1110,12,60,60,60,480,1110,20,TRUE,FALSE,798491,,Merrimack Street & Pleasant Valley Street,,42.7463025591459,-71.1294355373649
SA,2448758,NA,510,1164,20,34.421052631578945,46,46,480,1110,20,FALSE,FALSE,798469,,Merri Village,,42.8291494607539,-71.0009929067459
SA,2448761,NA,437,1097,24,28.695652173913043,60,60,480,1110,20,FALSE,FALSE,798423,,Marston Street & Allston Street,,42.7136296638473,-71.1395338601188
SA,2448763,NA,445,1105,12,60,60,60,480,1110,20,FALSE,FALSE,812013,,Hadley West Apartments,,42.773909805074,-71.11044243226
SA,2448764,NA,425,1085,12,60,60,60,480,1110,20,FALSE,FALSE,798467,,McGovern Transportation Center,,42.702391942237,-71.152963753303
SA,2448766,NA,435,1115,24,29.565217391304348,40,40,480,1110,20,TRUE,FALSE,798511,,Stateline Plaza - TJ Maxx,,42.815878704363,-71.104508558197
SA,2448767,NA,420,1123,36,20.085714285714285,40,40,480,1110,20,TRUE,FALSE,802558,,Buckley Transportation Center,For Rt 33 use only,42.708118677525,-71.163623895935
SA,2448769,NA,445,1105,12,60,60,60,480,1110,20,FALSE,FALSE,802598,,Plaza 114,,42.6902243104923,-71.1497418282071
SA,2448770,NA,441,1101,24,28.695652173913043,60,60,480,1110,20,FALSE,FALSE,798495,,Marriott Springhill Suites,,42.696735541909,-71.213116034401
SA,2448772,NA,452,1112,12,60,60,60,480,1110,20,TRUE,FALSE,802592,,White Street & Maple St,,42.7125490051884,-71.1660234957009
SA,2448775,NA,460,1090,10,70,70,70,480,1110,20,FALSE,FALSE,798501,,Salisbury Center,,42.8415444746546,-70.8590696487961
SA,2448778,NA,430,1090,12,60,60,60,480,1110,20,FALSE,FALSE,802560,,Merrimack Street & Pleasant Valley Street,,42.7462736891824,-71.1296527962951
SA,2448780,NA,512,1153,39,16.86842105263158,54,54,480,1110,20,FALSE,TRUE,798439,,Nicholas J. Costello Transportation Center,,42.8579267446633,-70.9276963802872
SA,2448782,NA,455,1115,12,60,60,60,480,1110,20,TRUE,FALSE,798497,,River Street & Lowell Ave,,42.772367856058104,-71.1161092159385
SA,2448783,NA,426,1109,24,29.695652173913043,37,37,480,1110,20,FALSE,FALSE,798460,,Lawrence General Hospital - Main Entrance,,42.7095070053548,-71.14953551157
SA,2448784,NA,420,1080,12,60,60,60,480,1110,20,FALSE,FALSE,2435109,,Buckley Transportation Center,,42.708021984421,-71.162951744945
SA,2448785,NA,435,1107,47,14.608695652173912,55,48,480,1110,20,FALSE,TRUE,798472,,Merrimack Plaza - Rite-Aid Pharmacy,,42.7051274246144,-71.1995604432803
SA,2448786,NA,428,1088,12,60,60,60,480,1110,20,FALSE,FALSE,798465,,Main Street & Sutton Street,,42.7058793991814,-71.1332582098217
SA,2448787,NA,438,1098,12,60,60,60,480,1110,20,FALSE,FALSE,798461,,Main Street & Central Street,,42.656508040948,-71.141044144517
SA,2448788,NA,560,965,4,135,180,171,480,1110,20,FALSE,FALSE,818775,,James Steam Mill,,42.808683357367,-70.862312188444
SA,2448789,NA,423,1083,12,60,60,60,480,1110,20,FALSE,FALSE,798441,,Currier Square,,42.770881288928,-71.093428434852
SA,2448792,NA,451,1111,12,60,60,60,480,1110,20,TRUE,FALSE,802593,,Elm Towers,,42.7111999473558,-71.1671466588955
SA,2448796,NA,433,1093,12,60,60,60,480,1110,20,FALSE,FALSE,798519,,Ward Hill Industrial Park East,,42.75948,-71.11517
SA,2448799,NA,445,1105,24,28.695652173913043,60,60,480,1110,20,FALSE,FALSE,798525,,Woodridge Housing,,42.6832481444841,-71.1318220932541
SA,2448801,NA,435,1095,12,60,60,60,480,1110,20,FALSE,FALSE,798438,,Chickering Road & Peters Street,,42.67688647891,-71.12514904051
SA,2448802,NA,490,1090,11,60,60,60,480,1110,20,FALSE,FALSE,2394656,,United Linen & La Frutería Market,,42.71255960347,-71.178463346198
SA,2448804,NA,445,1105,24,28.695652173913043,60,60,480,1110,20,FALSE,FALSE,798515,,Target Plaza,,42.7407141676447,-71.1607185038405
SA,2448807,NA,451,1111,12,60,60,60,480,1110,20,TRUE,FALSE,802566,,Currier Square,,42.770812754694,-71.09321654034
SA,2448808,NA,494,1094,11,60,60,60,480,1110,20,FALSE,FALSE,798536,,Broadway & Essex Street,,42.70487,-71.168339
