"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"1","2537977",2,FALSE,"Market Basket",c(237046.356054888, 871600.779768813),"BAT"
"2","2558590",0,FALSE,"Belair St at 7-Eleven",c(238288.04245837, 871060.576897913),"BAT"
"3","2558591",1,FALSE,"Belair St at 7-Eleven",c(238276.159256453, 871063.151962063),"BAT"
"4","2558592",0,FALSE,"Belair St at Colonel Bell Drive",c(238274.866221635, 871261.235364078),"BAT"
"5","2558593",1,FALSE,"Belair St at Belair Hi Rise",c(238250.192543924, 871377.438584342),"BAT"
"6","2558594",0,FALSE,"Belair St at Belair Hi Rise",c(238258.940143158, 871379.48209503),"BAT"
"7","2558595",1,FALSE,"Belair St at Earle St",c(238222.012639763, 871543.163918874),"BAT"
"8","2558596",1,FALSE,"Belair St at Coventry Cir",c(238181.506945443, 871831.694640347),"BAT"
"9","2558597",0,FALSE,"Belair St at Coventry Cir",c(238193.437058277, 871833.33006388),"BAT"
"10","2558598",0,FALSE,"Belair St at Anne Ave",c(238165.601621727, 872065.401244939),"BAT"
"11","2558599",0,FALSE,"Belair Street and Tucker Drive",c(238150.264557551, 872201.649064045),"BAT"
"12","2558600",2,FALSE,"Campanelli Dr at Work Out World",c(237008.336070741, 872361.987000467),"BAT"
"13","2558601",0,FALSE,"Oak St at Walmart",c(236759.302272828, 872434.844611038),"BAT"
"14","2558602",0,FALSE,"Oak St at Walmart",c(236768.494051464, 872418.362436236),"BAT"
"15","2558603",0,FALSE,"Oak St in front of Wendys",c(236872.41004483, 872434.610874615),"BAT"
"16","2558605",0,FALSE,"Park St across from Canterbury Arms Apts",c(235822.407270073, 872328.848599423),"BAT"
"17","2558606",1,FALSE,"Pleasant St at Vincentes",c(239406.26734058, 870715.485549581),"BAT"
"18","2558946",2,FALSE,"N Main Street and Locust Street",c(238782.722396712, 873326.408961844),"BAT"
"19","2584761",0,FALSE,"Oak St Ext and Pearl St",c(235949.017775054, 872246.887938347),"BAT"
"20","2584762",0,FALSE,"Oak St Ext at 7-Eleven",c(236115.809593863, 872277.854071744),"BAT"
"21","2597285",0,FALSE,"Kingswood Village SB",c(243137.247639417, 860516.578680308),"BAT"
"22","2729862",2,FALSE,"Lisa Dr & Howard St",c(239952.433256561, 874496.591050087),"BAT"
"23","2729863",2,FALSE,"North Quincy St at St Nick Church",c(241413.718223611, 873889.16195698),"BAT"
"24","2729864",2,FALSE,"Hovendon Ave & Farnham St",c(240375.734335789, 873789.193207586),"BAT"
"25","2729865",2,FALSE,"Cary Hill Plaza",c(240454.79191984, 871792.816773342),"BAT"
"26","2734703",0,FALSE,"North Main St at Washburn Heights Housing",c(238861.197889052, 873242.271875288),"BAT"
"27","2734704",0,FALSE,"North Main St at Guardian Rehabilitation Center",c(239103.138395177, 872985.141276143),"BAT"
"28","2734705",0,FALSE,"North Main St. @ Field House Daycare",c(238611.921881134, 873618.885488623),"BAT"
"29","2734706",2,FALSE,"Main St at Hayward Ave",c(240460.463845505, 866729.169752439),"BAT"
"30","2735481",2,FALSE,"Westgate Dt at Reynolds Hwy",c(237379.642700281, 871164.704801233),"BAT"
"31","2735484",2,FALSE,"Pleasant St at Newbury St",c(239053.124380582, 870818.609877879),"BAT"
"32","2735485",1,FALSE,"Clifton Ave at Main St",c(240184.159920578, 867866.664666133),"BAT"
"33","2735486",2,FALSE,"Warren Ave and West Chestnut St",c(239791.268003908, 868226.080216536),"BAT"
"34","2735487",2,FALSE,"Warren Ave and Calmar St",c(239748.253213439, 868453.6186298),"BAT"
"35","2735488",2,FALSE,"Warren Ave and Tribou St",c(239687.41331035, 868785.791660637),"BAT"
"36","2735489",2,FALSE,"Warren Ave and Florence St",c(239634.828140816, 869166.114202192),"BAT"
"37","2735490",2,FALSE,"Warren Ave and Dover St",c(239592.533968416, 869479.986755872),"BAT"
"38","2735491",2,FALSE,"Warren Ave and West Park St",c(239554.29583116, 869753.958753153),"BAT"
"39","2735492",2,FALSE,"Main St and Church St",c(239735.581927024, 870462.750443405),"BAT"
"40","2738221",2,FALSE,"Main St and Brookside Ave",c(240293.904124239, 867540.394399197),"BAT"
"41","2738222",2,FALSE,"Main St and Watson St",c(240327.012733211, 867414.072148408),"BAT"
"42","2738223",2,FALSE,"Main St and Holmes St",c(240357.558289213, 867319.328108443),"BAT"
"43","2738224",2,FALSE,"Main St and Clifton Ave - CVS",c(240206.343363626, 867893.998621126),"BAT"
"44","2738225",2,FALSE,"Main St - Teen Challenge",c(240219.532986388, 867835.488347767),"BAT"
"45","2738226",2,FALSE,"Main St and Calmar St",c(240025.703175108, 868550.919444073),"BAT"
"46","2738227",2,FALSE,"Main St and Nilsson St",c(239975.568828957, 868738.26137194),"BAT"
"47","2738228",2,FALSE,"Main St and Maple Ave",c(239710.977734185, 870085.621193388),"BAT"
"48","2738280",2,FALSE,"Belmont St and New Arnone School",c(239377.256177204, 870028.231441495),"BAT"
"49","2740070",1,FALSE,"Centre St and Ames Rd",c(242790.084158664, 870905.525507772),"BAT"
"50","2740071",1,FALSE,"Centre St and Guild Rd",c(242640.801396374, 870876.907071455),"BAT"
"51","2740072",2,FALSE,"Crescent St and Otis St",c(240209.925748743, 870158.065304132),"BAT"
"52","2740073",2,FALSE,"Crescent St and Brockton Day Nursery",c(240300.639860309, 870112.63014962),"BAT"
"53","2740074",2,FALSE,"Centre St and Hill St",c(241414.661042363, 870605.580262351),"BAT"
"54","2740116",2,FALSE,"St Coleman's School",c(240866.972350535, 870096.16252609),"BAT"
"55","2740144",0,FALSE,"Torrey St and Brewster Rd",c(237219.756251105, 869285.832504823),"BAT"
"56","2740145",0,FALSE,"Easton Industrial Park",c(235349.091734281, 866782.703570232),"BAT"
"57","2740154",2,FALSE,"Jehovah's Witness Hall",c(240977.951325403, 871995.968808626),"BAT"
"58","2740249",0,FALSE,"Park St and Belmont Ave",c(233971.676050655, 874493.584091105),"BAT"
"59","2740250",0,FALSE,"Park St in front of Blue Hill Nursing Home",c(235475.810250464, 873305.424927126),"BAT"
"60","2740251",1,FALSE,"Belair St and Oak St",c(238116.821164146, 872374.7974101),"BAT"
"61","3880713",2,FALSE,"Oak St at DW Field Park",c(237891.072600763, 872439.751996391),"BAT"
"62","3880714",2,FALSE,"Oak St across DW Field Park",c(237874.214411228, 872424.758721269),"BAT"
"63","799180",3,FALSE,"BAT Center",c(240105.165141158, 870656.527358133),"BAT"
"64","799181",2,FALSE,"Commercial St and School St",c(240098.999658666, 870259.775734593),"BAT"
"65","799182",2,FALSE,"School St and Lincoln St",c(239868.820047005, 870387.746886983),"BAT"
"66","799183",0,FALSE,"Main St and Centre St",c(239736.521015926, 870512.433466939),"BAT"
"67","799184",0,FALSE,"Main St and Petronelli Way",c(239733.84279363, 870592.704378924),"BAT"
"68","799185",0,FALSE,"Main St and Court St",c(239732.416777606, 870665.994588404),"BAT"
"69","799186",2,FALSE,"North Main St and Linden St",c(239764.62166682, 870908.10500968),"BAT"
