"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"1","2597088",0,FALSE,"Bridge St & Livingstone Ave",c(249787.475197983, 922360.360904559),"CATA"
"2","2597090",0,FALSE,"Cabot St - Ellis Square YMCA",c(251087.635785417, 922259.851554348),"CATA"
"3","2597091",0,FALSE,"Montserrat Station",c(251818.868939762, 923673.623021494),"CATA"
"4","2729983",0,FALSE,"650 Washington St",c(267764.498407681, 933386.468538732),"CATA"
"5","2729984",0,FALSE,"Washington St & Munsey Ln",c(269206.241621108, 936750.97992388),"CATA"
"6","2729985",0,FALSE,"Flanagan Square",c(269233.150938536, 929751.262659377),"CATA"
"7","2729986",0,FALSE,"Rogers St - Dunkin' Donuts",c(269026.645669079, 929559.817987358),"CATA"
"8","2729987",0,FALSE,"South & Frank St",c(272890.793761501, 931994.286818949),"CATA"
"9","2729988",0,FALSE,"Ravenswood Park",c(265754.299347082, 927060.407318102),"CATA"
"10","2729989",0,FALSE,"Western Ave & Stage Fort Park",c(267443.62678628, 928993.885151525),"CATA"
"11","2729990",0,FALSE,"Western Ave & Centennial Ave",c(267873.176093816, 929168.41571141),"CATA"
"12","2729993",0,FALSE,"Maplewood Ave & Prospect St St",c(268562.772175138, 929789.585227895),"CATA"
"13","2754935",0,FALSE,"Bass Ave & E Main St",c(269835.214388527, 929970.857395029),"CATA"
"14","2754936",0,FALSE,"Eastern Ave @ Witham St.",c(270765.495748693, 931321.140022928),"CATA"
"15","2754937",0,FALSE,"Essex Ave & Gibbs Hill Dr",c(266128.46730007, 929609.084398464),"CATA"
"16","3460636",0,FALSE,"NorthShore Education Consortium",c(250999.433773062, 924500.485270592),"CATA"
"17","3460638",0,FALSE,"Whole Foods Shopping",c(250968.791112667, 924912.006523987),"CATA"
"18","3460639",0,FALSE,"133 Brimbal Ave Dialysis",c(251125.787441375, 925042.037931119),"CATA"
"19","3460640",0,FALSE,"128 Cycles",c(251290.887812147, 924740.053376817),"CATA"
"20","3460642",0,FALSE,"Henry's Food Mart",c(249787.420998857, 924752.988945128),"CATA"
"21","3460643",0,FALSE,"Trask Ln & Folly Hill",c(248648.68268259, 924391.775206479),"CATA"
"22","3460645",0,FALSE,"Giles Ave",c(248988.972600442, 922671.582766286),"CATA"
"23","3460646",0,FALSE,"McPherson Dr & Elliott St",c(250443.956044325, 923006.364214192),"CATA"
"24","3460647",0,FALSE,"Beverly Library",c(251209.347150261, 922482.617456743),"CATA"
"25","3460648",0,FALSE,"Market Basket",c(246587.01696141, 922419.174733799),"CATA"
"26","3460649",0,FALSE,"Cabot Plaza",c(250732.442936524, 923342.886439844),"CATA"
"27","3461010",0,FALSE,"Bass River Tennis Club",c(250577.793236378, 924839.215831632),"CATA"
"28","3461011",0,FALSE,"Futures Behavioral Therapy",c(250815.342282298, 924372.25503112),"CATA"
"29","4149238",0,FALSE,"Shalin Liu Performance Center",c(272237.86714088, 934564.306382041),"CATA"
"30","798299",0,FALSE,"Addison Gilbert Hospital",c(267270.449156841, 930918.736890669),"CATA"
"31","798300",0,FALSE,"Annisquam Village Church",c(267958.489672947, 934881.384709005),"CATA"
"32","798301",0,FALSE,"Annisquam Wooden Bridge",c(267731.636635977, 934102.900649112),"CATA"
"33","798302",0,FALSE,"Atlantic St & Beach Rds",c(270725.432957801, 929903.78421049),"CATA"
"34","798303",0,FALSE,"Atlantic St & Grapevine Rds",c(270539.265732667, 927779.149974005),"CATA"
"35","798304",0,FALSE,"Atlantic St & High Popples Rds",c(270885.507045562, 928098.330298445),"CATA"
"36","798305",0,FALSE,"Atlantic St & Moorland Rds",c(271058.477797771, 929209.947003634),"CATA"
"37","798306",0,FALSE,"Atlantic St & Brooks Rd",c(265441.715207516, 932196.698629799),"CATA"
"38","798307",0,FALSE,"Atlantic St & Castle View Dr",c(265757.786147361, 933140.639472296),"CATA"
"39","798309",0,FALSE,"Bass Ave & Hartz St",c(270071.175203865, 929953.991458771),"CATA"
"40","798310",0,FALSE,"Bay View Fire Station",c(268210.100525173, 935272.965640301),"CATA"
"41","798311",0,FALSE,"Beach & Moorland Rds",c(270298.00518279, 929478.058202476),"CATA"
"42","798312",0,FALSE,"Blackburn Industrial Park",c(269317.279140336, 931094.197146675),"CATA"
"43","798314",0,FALSE,"Cape Hedge Inn",c(273752.652888554, 932671.935206424),"CATA"
"44","798318",0,FALSE,"Cherry St & Reynard St",c(268080.235828729, 931530.94304454),"CATA"
"45","798319",0,FALSE,"Cherry St & Cherry Hill Rd",c(268048.752493954, 932249.434263219),"CATA"
"46","798320",0,FALSE,"Cherry St & Finch Ln",c(268176.992341796, 932010.505858048),"CATA"
"47","798321",0,FALSE,"Concord St & Atlantic St",c(264967.032386309, 931729.396767574),"CATA"
"48","798322",0,FALSE,"Concord St & Becker Cir",c(264805.610688968, 931115.774268337),"CATA"
"49","798323",0,FALSE,"Curtis - Clark Building",c(268924.414776678, 929812.049929944),"CATA"
"50","798324",0,FALSE,"Destino's",c(269133.046211069, 929920.654016083),"CATA"
"51","798325",0,FALSE,"Dock Square",c(272364.900940965, 934596.332534343),"CATA"
"52","798326",1,FALSE,"Dunkin' Donuts",c(268985.525390921, 929569.054840488),"CATA"
"53","798327",0,FALSE,"Rogers St - Dunkin' Donuts",c(269015.946393839, 929575.401392589),"CATA"
"54","798328",0,FALSE,"Thatcher Rd & Barn Ln at Vista Hotel",c(270654.196441138, 930510.060393373),"CATA"
"55","798329",1,FALSE,"East Gloucester Square",c(269624.919882325, 928904.83936487),"CATA"
"56","798330",0,FALSE,"East Main St & Haskell St",c(269924.641284671, 929691.498046786),"CATA"
"57","798331",0,FALSE,"East Main St & Rocky Neck Ave",c(269375.020938198, 928444.336436186),"CATA"
"58","798332",0,FALSE,"East Main St & Bass Ave",c(269794.220048871, 929967.876040593),"CATA"
"59","798333",0,FALSE,"Eastern Ave & Harrison Ave",c(269962.786215604, 930298.885259297),"CATA"
"60","798334",0,FALSE,"Eastern Ave & Hartz St",c(270010.391149527, 930319.957468398),"CATA"
"61","798335",0,FALSE,"Eastern Ave & Webster St",c(269744.737319289, 930180.175240649),"CATA"
"62","798336",0,FALSE,"Eastern Point Rd & Grapevine Rd",c(269345.70011557, 928173.310314084),"CATA"
