"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"1","2326132",0,FALSE,"Scituate Library Community Center",c(263829.265148207, 883641.870678511),"GATRA"
"2","2326135",0,FALSE,"North Scituate Plaza",c(259123.16187899, 885694.706691486),"GATRA"
"3","2326136",0,FALSE,"Lincoln Park",c(258640.776661634, 885867.841797836),"GATRA"
"4","2326309",0,FALSE,"Indian Brook School",c(279681.589549326, 849256.217089561),"GATRA"
"5","2332197",0,FALSE,"Hannaford Supermarket",c(231436.315397661, 848514.942249636),"GATRA"
"6","2332283",1,FALSE,"Market Basket",c(212218.045001094, 849863.319874297),"GATRA"
"7","2383925",0,FALSE,"Plain Street and East Water Street (Eastbound)",c(234163.125133063, 848429.606366059),"GATRA"
"8","2383928",0,FALSE,"County Street and Karena Drive",c(236115.626723672, 847916.712625153),"GATRA"
"9","2383936",0,FALSE,"Shaw's",c(264129.724093956, 834623.763245776),"GATRA"
"10","2383942",1,FALSE,"Pleasant Street and Peck Street",c(218394.13023428, 855327.907342421),"GATRA"
"11","2383947",0,FALSE,"1008 West Main Street",c(224977.842851939, 856835.102529242),"GATRA"
"12","2383951",0,FALSE,"Bay Street and Field Street",c(231786.72689558, 856311.633897009),"GATRA"
"13","2437317",0,FALSE,"Shaw's (Kingston)",c(267461.654712228, 855847.004014651),"GATRA"
"14","2484309",0,FALSE,"MAP Academy",c(265392.470603412, 855708.685823103),"GATRA"
"15","2484310",0,FALSE,"Our Lady of Lourdes",c(260953.482194791, 848637.179297461),"GATRA"
"16","2559007",0,FALSE,"Academy Dr - Buzzard's Bay",c(273548.152243496, 833145.50133093),"GATRA"
"17","2559008",0,FALSE,"Academy Dr - Buzzard's Bay",c(273550.166542622, 833161.878563068),"GATRA"
"18","2559120",0,FALSE,"Wareham Crossing",c(262856.323644402, 836465.357416065),"GATRA"
"19","2559121",0,FALSE,"Cromeset Woods",c(263600.904657321, 833260.156190572),"GATRA"
"20","2559122",0,FALSE,"Kingsbury Plaza",c(263612.25742768, 862165.094542349),"GATRA"
"21","2559128",0,FALSE,"Webster Square",c(265579.729010973, 871366.708709793),"GATRA"
"22","2559134",0,FALSE,"Roche Bros.",c(262830.227245182, 872953.845707614),"GATRA"
"23","2559135",0,FALSE,"Duxbury Housing Complex",c(267415.536897678, 864249.605120676),"GATRA"
"24","2559140",0,FALSE,"Tura's Pharmacy",c(263751.171191523, 861228.56102068),"GATRA"
"25","2559142",0,FALSE,"Tura's Pharmacy",c(263762.352792071, 861247.322427214),"GATRA"
"26","2559143",0,FALSE,"Beach Street Green Harbor General Store",c(270271.892491056, 870395.647219175),"GATRA"
"27","2574366",0,FALSE,"Main Street and Summer Street (Eastbound)",c(234096.33147978, 850168.41756934),"GATRA"
"28","2574369",0,FALSE,"Main Street and Summer Street (Westbound)",c(234105.458852444, 850180.978182443),"GATRA"
"29","2574377",0,FALSE,"County St & Hart St",c(235944.430110671, 848386.811778691),"GATRA"
"30","2574382",0,FALSE,"County St & Mozzone Blvd",c(236550.321076813, 847359.246254727),"GATRA"
"31","2574390",0,FALSE,"N Washington St & High St",c(213894.057523144, 859313.147565856),"GATRA"
"32","2574406",0,FALSE,"South Ave & Greenfield St",c(214636.215764143, 853702.308772966),"GATRA"
"33","2574407",0,FALSE,"South Ave & Lathrop Rd",c(215274.983563488, 853751.529553358),"GATRA"
