"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"1","2392431",1,FALSE,"UMass Inn and Conference Center",c(215848.191767763, 932572.310485279),"LRTA"
"2","2392432",0,FALSE,"Merrimack St and Palmer St",c(215555.79000931, 932799.816088543),"LRTA"
"3","2392433",1,FALSE,"University Crossing Transit Hub",c(214480.446458825, 933202.89182009),"LRTA"
"4","2392434",1,FALSE,"UMass Lowell North Campus",c(214337.097577501, 933946.02079955),"LRTA"
"5","2581590",2,FALSE,"Middlesex St & Lord Overpass Circle",c(215147.833882927, 932141.436523386),"LRTA"
"6","2583090",1,FALSE,"D'Youville Manor",c(210977.687123402, 932742.757302182),"LRTA"
"7","2729431",0,FALSE,"Broadway St & Walker St",c(213827.098143721, 932422.175544242),"LRTA"
"8","2729432",0,FALSE,"Broadway St & School St",c(214266.266729378, 932509.524513038),"LRTA"
"9","2729433",0,FALSE,"Francis Gate",c(213963.874536452, 932465.23505369),"LRTA"
"10","2729434",1,FALSE,"Market Basket Old Ferry Road",c(211489.937911082, 932376.665154402),"LRTA"
"11","2729436",0,FALSE,"Shedd Park",c(217322.047032441, 931376.32148118),"LRTA"
"12","2729437",0,FALSE,"Chelmsford Center",c(212240.984691258, 927373.041167354),"LRTA"
"13","2730030",1,FALSE,"Wentworth Ave & Andover St",c(217333.231738997, 932507.834862343),"LRTA"
"14","2734160",0,FALSE,"Radisson Hotel",c(212456.999018444, 928039.566656931),"LRTA"
"15","2745399",0,FALSE,"Mt Vernon St & Broadway St",c(214478.863922767, 932557.653090522),"LRTA"
"16","2745401",0,FALSE,"Billerica Business Center",c(217696.900246484, 928453.543816855),"LRTA"
"17","4147995",0,FALSE,"53 Third Ave",c(222585.257507321, 915304.95955592),"LRTA"
"18","4147996",0,FALSE,"53 Third Ave",c(222591.090951493, 915321.292686034),"LRTA"
"19","4147997",0,FALSE,"Outside Mitre Facility",c(222008.80942403, 917366.919710935),"LRTA"
"20","4147998",0,FALSE,"Outside Mitre Facility",c(221988.904683959, 917352.30582563),"LRTA"
"21","800710",0,FALSE,"Ames Pond Corp Park",c(222465.849246315, 932360.425045155),"LRTA"
"22","800711",1,FALSE,"Andover St & Burnham Rd",c(218679.059340012, 932873.931786461),"LRTA"
"23","800713",0,FALSE,"Andover St & Nesmith St",c(216565.064124464, 932424.014925641),"LRTA"
"24","800715",0,FALSE,"Andrews St & Moore St",c(216224.835261527, 930865.066485483),"LRTA"
"25","800725",0,FALSE,"Broadway St & School St",c(214289.770479197, 932524.282700434),"LRTA"
"26","800730",0,FALSE,"Chelmsford St and Westford St",c(215083.965772997, 931900.326851822),"LRTA"
"27","800734",0,FALSE,"Dalton Rd & Steadman St",c(212847.295152428, 928926.917818748),"LRTA"
"28","800741",0,FALSE,"Four Corners",c(208635.098996759, 936803.252105866),"LRTA"
"29","800746",0,FALSE,"Hampton Inn Technology Drive",c(206775.056710056, 924765.315700731),"LRTA"
"30","800750",0,FALSE,"Hildreth St and Bridge St",c(216156.851277794, 933857.874377001),"LRTA"
"31","800755",4,TRUE,"Kennedy Center",c(215218.735775228, 931768.14893841),"LRTA"
"32","800768",1,FALSE,"Mammoth Rd & Woodward Ave",c(213538.808928268, 933483.025078248),"LRTA"
"33","800778",0,FALSE,"Mount Vernon St and Bowers St",c(214284.628748865, 932964.790104455),"LRTA"
"34","800784",0,FALSE,"Pawtucket St & Fletcher St",c(214290.496220396, 933228.642684409),"LRTA"
"35","800788",0,FALSE,"Pollard St & High St",c(218190.407646336, 925388.064306104),"LRTA"
"36","800793",0,FALSE,"224 Littleton Road",c(205681.395255118, 923489.25746228),"LRTA"
"37","800801",0,FALSE,"Shedd Park",c(217307.069303354, 931362.872936515),"LRTA"
"38","800803",0,FALSE,"Chelmsford Cinema",c(214498.790622765, 928951.718121566),"LRTA"
"39","800810",0,FALSE,"Tewksbury Town Hall",c(221858.984923703, 929093.376791252),"LRTA"
"40","800815",0,FALSE,"Tsongas Arena (French St)",c(215276.517211611, 933094.88384538),"LRTA"
"41","800825",1,FALSE,"Wentworth Ave & Andover St",c(217348.945138593, 932494.44516578),"LRTA"
"42","800829",0,FALSE,"Westford Valley Market Place",c(206414.854452741, 924027.034401141),"LRTA"
"43","800833",0,FALSE,"Gorham St and Carlisle St",c(216423.01725174, 928217.556682952),"LRTA"
"44","802637",1,FALSE,"Chelmsford St & Westford St",c(215005.880116733, 931912.470706788),"LRTA"
"45","803702",0,FALSE,"Bedford Springs Apartments",c(221592.023909791, 917921.464667702),"LRTA"
"46","804915",0,FALSE,"Lakeview Ave and Mammoth Road",c(211908.14376539, 936894.81238245),"LRTA"
"47","805127",0,FALSE,"Hampton Inn Technology Drive",c(206766.322767302, 924776.704208631),"LRTA"
"48","805136",0,FALSE,"Dalton Rd & Steadman St",c(212844.143579093, 928912.921881889),"LRTA"
"49","805144",0,FALSE,"LGH & Technology Drive",c(210988.856552268, 930791.379092737),"LRTA"
"50","814366",1,FALSE,"Hannafords Plaza",c(218210.956960528, 930960.377178284),"LRTA"
"51","814367",0,FALSE,"Chelmsford Rd & Boston Rd",c(217007.140693004, 925995.003662078),"LRTA"
"52","814369",0,FALSE,"Main St & Marjorie Rd",c(225591.319165618, 924477.759210538),"LRTA"
"53","814370",0,FALSE,"Mission Rd & Dunstable Rd",c(208364.407752937, 932747.919990783),"LRTA"
"54","814371",0,FALSE,"Chelmsford Arms",c(212348.723759473, 929848.725291889),"LRTA"
"55","814372",0,FALSE,"Billerica Rd & Chelmsford St",c(212252.886303968, 927387.063634244),"LRTA"
"56","814373",0,FALSE,"Marshall's Plaza",c(212408.081602074, 927090.468505674),"LRTA"
"57","814374",0,FALSE,"Nashoba Tech",c(207409.838327067, 924588.003587898),"LRTA"
"58","814375",0,FALSE,"Tyngsboro Rd & Wellman Ave",c(208921.479194325, 932647.614796576),"LRTA"
"59","814376",0,FALSE,"Nashoba Tech",c(207289.040747938, 924548.825034763),"LRTA"
"60","814378",0,FALSE,"Gorham St & Lincoln St",c(215761.035495859, 930806.731807607),"LRTA"
"61","814379",0,FALSE,"Gorham St & London St",c(215760.987564037, 930766.401191431),"LRTA"
"62","814380",0,FALSE,"Chelmsford St & Independence Dr",c(212663.378240976, 928088.319133224),"LRTA"
"63","814381",0,FALSE,"Bridge St & 18th St",c(216118.043205005, 934525.864712564),"LRTA"
"64","814382",0,FALSE,"Dalton Rd & Field St",c(212223.154843265, 928558.704850148),"LRTA"
"65","814383",0,FALSE,"Gorham St & Manchester St",c(215802.660967896, 930630.933056387),"LRTA"
"66","814384",0,FALSE,"Gorham St & Manchester St",c(215818.991773099, 930628.192836571),"LRTA"
"67","814385",0,FALSE,"Lawrence St & Billerica St",c(216873.950555446, 930561.01713252),"LRTA"
"68","814386",0,FALSE,"109 Arlington",c(216517.457894505, 935573.142216295),"LRTA"
"69","814387",0,FALSE,"Concord Rd & Blanchard Ave",c(218930.572501483, 923170.623315736),"LRTA"
"70","814389",1,FALSE,"11 Technology",c(211272.706008685, 930777.24853092),"LRTA"
"71","814390",0,FALSE,"Gorham St & Blossom St",c(215794.812469549, 930691.789842831),"LRTA"
"72","814391",0,FALSE,"Westford St & Gates St",c(214754.686278014, 931825.74156733),"LRTA"
"73","814392",0,FALSE,"Andover St & Cobleigh Dr",c(219488.367902336, 932710.780419606),"LRTA"
"74","814393",0,FALSE,"Andover St & Longmeadow Rd",c(219634.08235306, 932668.070237274),"LRTA"
"75","814394",0,FALSE,"1158 Gorham",c(215884.377523599, 930409.059516533),"LRTA"
"76","814396",0,FALSE,"Tyngsboro Rd & Pailet Dr",c(208789.161566938, 932763.043312226),"LRTA"
"77","814397",0,FALSE,"Middlesex St & Canton St",c(213641.296167952, 932018.527047973),"LRTA"
"78","814399",0,FALSE,"Old Elm St & Wilson St",c(217667.047133847, 926697.429478789),"LRTA"
"79","814400",0,FALSE,"Chelmsford St & Independence Dr",c(212654.949318547, 928100.028552908),"LRTA"
"80","814401",0,FALSE,"Middlesex St & Stevens St",c(213572.147939017, 932003.10788433),"LRTA"
"81","814402",0,FALSE,"Carlisle St & Devine Ave",c(215930.220781431, 929422.964361602),"LRTA"
"82","814403",0,FALSE,"Gorham St & Carlisle St",c(216430.73415585, 928278.165377495),"LRTA"
"83","814405",1,FALSE,"Old Meadow Rd & Avon St",c(213359.057838541, 934179.147148875),"LRTA"
"84","814406",2,FALSE,"Father Norton Manor",c(216281.204140897, 932589.007702437),"LRTA"
"85","814407",1,FALSE,"Westford St & Gates St",c(214723.665526474, 931799.053236168),"LRTA"
"86","814408",0,FALSE,"Gorham St & Lundberg St",c(215947.559656087, 930186.700450268),"LRTA"
"87","814409",0,FALSE,"Andover St & Trull Rd",c(219957.211988972, 932591.67176904),"LRTA"
"88","814410",0,FALSE,"Dalton Rd & Cortez St",c(212471.852781327, 928695.660307951),"LRTA"
"89","814411",1,FALSE,"Drum Hill Rd & Technology Dr",c(211661.496920989, 930710.340610525),"LRTA"
"90","814413",0,FALSE,"Dalton Rd & Woodlawn Ave",c(212439.314518648, 928685.61052761),"LRTA"
"91","814414",0,FALSE,"Bridge St & Emerson Ave",c(216112.695009328, 935091.89207949),"LRTA"
"92","814415",0,FALSE,"Middlesex St & Tobin Ave",c(210561.236735896, 931695.717111271),"LRTA"
"93","814417",0,FALSE,"Lakeview Ave & Doyle Ave",c(214153.140320414, 935535.253589381),"LRTA"
"94","814418",4,TRUE,"Middlesex & Elliot St",c(215496.679930968, 932311.085320641),"LRTA"
"95","814419",0,FALSE,"1337 Lakeview",c(214047.515957829, 935634.926936882),"LRTA"
"96","814421",0,FALSE,"Pollard St and High St",c(218205.993334578, 925392.156979803),"LRTA"
"97","814422",0,FALSE,"Gorham St & Cosgrove St",c(216024.239127324, 929871.896229141),"LRTA"
"98","814423",0,FALSE,"Andover St & Green Meadow Dr",c(220270.705958026, 932413.414560229),"LRTA"
"99","814424",0,FALSE,"Durnstable Rd & Dunshire Dr",c(208608.358302717, 932456.104037389),"LRTA"
"100","814425",0,FALSE,"Stewart St & Tyngsboro Rd",c(210309.986767603, 936582.400062763),"LRTA"
"101","814426",2,FALSE,"High St & Chestnut St",c(216273.204587973, 932564.300094789),"LRTA"
"102","814428",0,FALSE,"Andover St & Green Meadow Dr",c(220386.482097058, 932361.165591094),"LRTA"
