"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"1","2448720",1,FALSE,"Anna Jacques Hospital",c(249782.178761207, 951645.964288366),"MVRTA"
"2","2448721",1,FALSE,"Greater Lawrence Technical School",c(224889.578995886, 937753.998630487),"MVRTA"
"3","2448723",1,FALSE,"S Broadway & Mt Vernon Street",c(228160.891076674, 937302.698659872),"MVRTA"
"4","2448725",1,FALSE,"Prospect Street & E Haverhill Street",c(228284.740627928, 940825.799687592),"MVRTA"
"5","2448726",0,FALSE,"Washington Street & Lowell Ave",c(232153.455822551, 947102.93108891),"MVRTA"
"6","2448727",0,FALSE,"Chestnut Court",c(230157.946180044, 933975.253279438),"MVRTA"
"7","2448729",1,FALSE,"S Union Street & Market Street",c(228386.568316369, 938988.363233144),"MVRTA"
"8","2448730",0,FALSE,"Hilldale Avenue & Monument Street",c(232389.567787231, 948972.013749243),"MVRTA"
"9","2448732",1,FALSE,"Courtyard Marriott",c(224689.59026317, 938271.502087119),"MVRTA"
"10","2448734",1,FALSE,"Water Street & Ames Street",c(226239.883316374, 938297.630240767),"MVRTA"
"11","2448735",2,FALSE,"N Main Street & Balmoral",c(228688.811048314, 935686.55937324),"MVRTA"
"12","2448736",1,FALSE,"Port Plaza",c(248507.279101005, 952279.602260764),"MVRTA"
"13","2448737",1,FALSE,"Holy Family Hospital",c(227202.767847917, 941992.339633397),"MVRTA"
"14","2448738",0,FALSE,"Rivers Edge Plaza - Building 19",c(237829.514781735, 945965.290048843),"MVRTA"
"15","2448741",1,FALSE,"Andover Street & Winthrop Street",c(228079.288182745, 938305.849594821),"MVRTA"
"16","2448747",1,FALSE,"Jackson Street & Swan Street",c(227987.522982506, 941332.18328666),"MVRTA"
"17","2448748",0,FALSE,"Hilldale Avenue & Monument Street",c(232387.305814173, 948986.53736838),"MVRTA"
"18","2448750",0,FALSE,"Shawsheen Plaza",c(229197.005849449, 934994.481391643),"MVRTA"
