"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"1","0033fe20-3ebf-4ffc-ba74-723fde22fefb",1,FALSE,"South St & Hayward St",c(196258.532609293, 883856.470012145),"MW"
"2","0102c992-9895-4ccf-8ea1-d469fefb1dc1",1,FALSE,"Newton and Weed St",c(195826.156022113, 899507.210616784),"MW"
"3","02f044a5-b26f-4a43-b319-346c57906bd5",1,FALSE,"Route 85 & Route 135",c(198188.815844155, 886445.164056286),"MW"
"4","038a8988-55e4-4a23-959d-b44372917669",0,FALSE,"Machado House",c(194459.847863817, 904923.216651929),"MW"
"5","06cdfc3a-7463-45b1-8c02-f41ef532498c",1,FALSE,"Maple St / Walker St",c(196614.794931761, 898072.701296081),"MW"
"6","08763347-0cd0-4182-bd93-94b4bf79b609",0,FALSE,"Mission Springs",c(204622.711225978, 880977.583842342),"MW"
"7","0895529e-8620-49e2-96b7-b2bc7482193b",1,FALSE,"Avenu at Natick",c(209910.740141996, 894510.581031102),"MW"
"8","08a05c14-2db4-40b3-9def-f3deaa85c216",0,FALSE,"Carlson Rd",c(208495.845433414, 891387.94706896),"MW"
"9","08bddd79-9213-464e-bbb5-226afb92a77a",1,FALSE,"Mathworks Lakeside",c(210236.695661102, 894691.592103126),"MW"
"10","0a4cc4a9-cd68-46f2-b3ed-28b2147f14fd",0,FALSE,"Halstead Apartments Rear Parking",c(202406.227355551, 893679.645416084),"MW"
"11","0a959b0e-7d4c-4b4c-90b0-72ee387a9387",1,FALSE,"Vernon St & Pleasant St",c(205269.960481652, 894482.462621346),"MW"
"12","0b9f2b69-08e3-45ce-a6f4-e4c529c11701",0,FALSE,"Milford Police and Post Office",c(198249.546409344, 876517.471239146),"MW"
"13","0c31e628-5b24-44fa-808c-f24b81e1edb3",1,FALSE,"Downtown Southborough",c(197854.416075847, 895030.363432209),"MW"
"14","0d563411-d457-4657-9811-baaf24b4cea7",0,FALSE,"Central St & Route 30",c(199207.911542213, 894633.539181005),"MW"
"15","120ef11b-8a1f-4058-a462-450201afcde8",1,FALSE,"Holliston Congregational Church",c(205849.377379876, 883451.092693744),"MW"
"16","12b6eec7-547f-45cf-becb-2846be5028a5",0,FALSE,"Milford Shaws/Wallgreens",c(197132.206197756, 876422.205262467),"MW"
"17","1960ce3a-fc28-4f04-901e-25703c6a0f40",0,FALSE,"Arsenal Rd",c(207368.090992165, 893918.024406598),"MW"
"18","1965cd2d-df70-4cc7-aff6-589b0be9138c",0,FALSE,"Fruit St / S. Mail St",c(198282.765409406, 875895.409212063),"MW"
"19","1b9378ff-35b5-4642-ba52-662ba5384f4a",0,FALSE,"Arlington St/Waushakum St",c(206803.474908625, 891197.669129719),"MW"
"20","1bdefae5-45ed-4fe7-ab0f-d92b7e1a4320",0,FALSE,"Route 9/Beacon St",c(207519.052471214, 894205.965926516),"MW"
"21","1d2d1903-683f-4059-9a2c-98ec0599e027",1,FALSE,"Chinese Gospel Church",c(199610.930413657, 893779.79495149),"MW"
"22","1dd033e2-d1ac-413a-a0dc-2d1a6d84d450",1,FALSE,"Maple St / S. Mill St",c(196617.713207793, 897935.652381239),"MW"
"23","1ec91042-4319-40bf-b4ed-62d37f2cc0e5",0,FALSE,"Marlborough Hospital",c(195478.397657685, 900362.18841874),"MW"
"24","1f409f79-be89-4902-9cd6-5849c28cc1d9",0,FALSE,"MCI/Adesa",c(207610.772582986, 890382.626918104),"MW"
"25","1fd95a95-e63a-4fc2-ae07-5590f1e02017",1,FALSE,"Cedar Street",c(220735.169099158, 896463.565140575),"MW"
"26","2084f27d-e861-4134-8367-842a0e9d8645",1,FALSE,"Natick Common",c(212595.329653294, 892600.647482113),"MW"
"27","21609f30-afce-446f-a930-19f66a023574",1,FALSE,"500 Staples Dr rear Entrance",c(200596.578780023, 893368.223542873),"MW"
"28","2201cb43-0df7-4b53-a688-cfc750958ae8",0,FALSE,"Milford Town Hall- Route 14",c(198512.376476793, 876892.341600659),"MW"
"29","266a135e-4851-4d05-8bcf-3b9726df2bc6",0,FALSE,"Franklin St & Proctor St",c(206699.473827293, 892131.865150867),"MW"
"30","2b621cd7-1638-4d23-896f-72c168805a0a",0,FALSE,"Highland Commons- Bed Bath Beyond",c(192032.245725966, 904982.307700313),"MW"
"31","2f68e90d-cb3e-4ec3-b2c4-44d403e5748e",0,FALSE,"9/27 Shopping Plaza",c(211615.276202342, 894522.119222165),"MW"
"32","323865ce-1587-4c30-949f-d5682d4d32b4",0,FALSE,"Hudson Senior Center",c(194502.002503954, 904749.78620336),"MW"
"33","3603c005-0250-4761-b1dc-ecafe6315f58",0,FALSE,"Framingham High School",c(208225.753553521, 896528.510156979),"MW"
"34","370b8338-7732-415a-accd-cc370c5bcbf0",0,FALSE,"Beaver St & Second St",c(208074.668076995, 891519.356289711),"MW"
"35","39f836a1-5c3d-434d-80fc-f3131b7c13c0",1,FALSE,"Edmans House",c(205152.251735387, 897690.190300966),"MW"
"36","3aafcbf7-e332-4b5b-b805-6a5a422ca195",0,FALSE,"Lincoln St & Pleasant St",c(195092.299622098, 899491.66307937),"MW"
"37","3b5930ba-f70e-4f74-a74d-a14da1918e43",1,FALSE,"Roche Bros.",c(210154.566913578, 892405.207626001),"MW"
"38","3ef7ac24-c8f0-4b6b-a81c-913ae133d342",0,FALSE,"Concord St/ Anzio Rd",c(207489.588458123, 893627.657783681),"MW"
