DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
SA,2597088,NA,467.9307690371122,977.9307690371122,5,127.5,150,141.050317691789,480,1110,20,FALSE,FALSE,,,Bridge St & Livingstone Ave,,42.5502052020573,-70.8938051641689
SA,2597091,NA,528.6069613728149,1020,5,122.84825965679627,133,129.1,480,1110,20,FALSE,FALSE,,,Montserrat Station,,42.5618946873959,-70.8689542157384
SA,3460636,NA,498.1756652975745,998.1756652975745,5,125,140,134.04046035900132,480,1110,20,FALSE,FALSE,,,NorthShore Education Consortium,,42.569392304805604,-70.8788595457585
SA,3460638,NA,500,1000,5,125,140,134.06370375214325,480,1110,20,FALSE,FALSE,,,Whole Foods Shopping,,42.5730988511098,-70.879196262258
SA,3460639,NA,500.4457369113923,1000.178294764557,5,124.93313946329117,139.73255785316462,133.83862320523383,480,1110,20,FALSE,FALSE,,,133 Brimbal Ave Dialysis,,42.5742590980758,-70.8772725402071
SA,3460640,NA,501.237764083421,1000.4951056333684,5,124.81433538748686,139.25734154994745,133.52159920195686,480,1110,20,FALSE,FALSE,,,128 Cycles,,42.5715297494344,-70.8752885791225
SA,3460642,NA,513.7770789078226,873.7770789078227,4,120.00000000000004,120.00000000000011,120.00000000000009,480,1110,20,FALSE,FALSE,,,Henry's Food Mart,,42.571743870978,-70.8935987186822
SA,3460643,NA,560,945,4,128.33333333333334,145,140,480,1110,20,FALSE,FALSE,,,Trask Ln & Folly Hill,,42.5685642413802,-70.907498442901
SA,3460645,NA,466.1394862195981,976.1394862195981,4,170,240,221.99999999999997,480,1110,20,FALSE,FALSE,,,Giles Ave,,42.5530575381212,-70.9035006327614
SA,3460647,NA,532.1578541173443,1027,5,123.71053647066393,135,130.5,480,1110,20,FALSE,FALSE,,,Beverly Library,,42.551213500289,-70.8764826769488
SA,3460648,NA,570,960,4,130,145,141,480,1110,20,FALSE,FALSE,,,Market Basket,,42.5509328333064,-70.9327668707202
SA,3460649,NA,507.464825006677,507.464825006677,1,NA,-Inf,NA,480,1110,20,FALSE,NA,,,Cabot Plaza,,42.5589889665313,-70.8822133230542
SA,3461010,NA,517.0593218451181,517.0593218451181,1,NA,-Inf,NA,480,1110,20,FALSE,NA,,,Bass River Tennis Club,,42.5724691050963,-70.8839648829374
SA,3461011,NA,518.016357725497,518.016357725497,1,NA,-Inf,NA,480,1110,20,FALSE,NA,,,Futures Behavioral Therapy,,42.5682500142646,-70.8811129149947
SA,798299,NA,492,972,12,43.63636363636363,77,60,480,1110,20,FALSE,FALSE,,,Addison Gilbert Hospital,,42.6259314,-70.6799482
SA,798300,NA,486,966,5,120,120,120,480,1110,20,FALSE,FALSE,,,Annisquam Village Church,,42.66154202,-70.67109183
SA,798305,NA,640,1000,4,120,120,120,480,1110,20,FALSE,FALSE,,,Atlantic St & Moorland Rds,,42.6102123,-70.6339853
SA,798312,NA,564,924,7,60,60,60,480,1110,20,FALSE,FALSE,,,Blackburn Industrial Park,,42.627331,-70.654977
SA,798314,NA,535,1014,5,119.75,120,120,480,1110,20,FALSE,FALSE,,,Cape Hedge Inn,,42.641125,-70.600708
SA,798323,NA,588,948,7,60,60,60,480,1110,20,FALSE,FALSE,,,Curtis - Clark Building,,42.6158244,-70.6599199
SA,798325,NA,471,1021,18,32.35294117647059,70,55,480,1110,20,FALSE,FALSE,,,Dock Square,,42.65857813,-70.61738533
SA,798326,NA,500,1045,59,9.39655172413793,30,27,480,1110,20,FALSE,TRUE,,,Dunkin' Donuts,,42.6136316,-70.6592043
SA,798331,NA,551,1031,5,120,120,120,480,1110,20,FALSE,FALSE,,,East Main St & Rocky Neck Ave,,42.6034725,-70.6545933
SA,798338,NA,590,1010,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & Magnolia Ave,,42.61071203,-70.70788133
SA,798339,NA,580,1000,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & Concord St,,42.61766504,-70.71135832
SA,798340,NA,587,1007,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & Lawrence Mountain Rd,,42.6230225,-70.7294938
SA,798341,NA,593,1013,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & Edgewood Rd,,42.6138101,-70.6890008
SA,798342,NA,581,1001,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & Fernald St,,42.6220192,-70.7262721
SA,798343,NA,585,1005,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & Forest Ln,,42.6238669,-70.7366911
SA,798344,NA,588,1008,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & New Way Ln,,42.6174769,-70.7146807
SA,798345,NA,584,1004,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & Woodman St,,42.6261137,-70.7456615
SA,798346,NA,582,1002,4,140,180,168,480,1110,20,FALSE,FALSE,,,Essex Ave & Sumner St,,42.6237685,-70.7360583
SA,798347,NA,583,1003,8,60,180,144,480,1110,20,FALSE,FALSE,,,Essex Town Line,,42.628692,-70.7503357
SA,798351,NA,556,916,7,60,60,60,480,1110,20,FALSE,FALSE,,,Gloucester Crossing,,42.62366,-70.661748
SA,798352,NA,547,907,7,60,60,60,480,1110,20,FALSE,FALSE,,,Gloucester High School,,42.613532,-70.6751916
SA,798353,NA,495,1050,17,34.6875,75,62,480,1110,20,FALSE,FALSE,,,Commuter Rail Station - Gloucester,,42.61657151,-70.66754752
SA,798354,NA,645,1005,4,120,120,120,480,1110,20,FALSE,FALSE,,,Good Harbor Beach,,42.6225644,-70.63198094
SA,798355,NA,550,970,4,140,180,168,480,1110,20,FALSE,FALSE,,,Hammond Castle,,42.5856884,-70.6931195
SA,798356,NA,576,996,4,140,180,168,480,1110,20,FALSE,FALSE,,,Heights at Cape Ann,,42.6139683,-70.6886748
SA,798358,NA,483,963,5,120,120,120,480,1110,20,FALSE,FALSE,,,Lanesville Post Office,,42.67765898,-70.65877859
SA,798362,NA,554.2661287757879,974,4,139.9112904080707,180,168,480,1110,20,FALSE,FALSE,,,Lexington Ave & Flume Rd,,42.5760471005007,-70.7123213362457
SA,798364,NA,546,906,7,60,60,60,480,1110,20,FALSE,FALSE,,,Lincoln Park,,42.6155158,-70.6739164
SA,798368,NA,553,975,12,38.36363636363637,178,118,480,1110,20,FALSE,FALSE,,,Magnolia Square,,42.5772319,-70.7146661
