DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
SA,2392433,NA,527.6,1132.6,11,60.499999999999986,65,60.5,480,1110,20,FALSE,FALSE,,,University Crossing Transit Hub,,42.64926978355,-71.323415136585
SA,2581590,NA,460.31666666666666,1150.3166666666666,24,29.999999999999996,30.000000000000057,30,480,1110,20,TRUE,FALSE,,,Middlesex St & Lord Overpass Circle,,42.6397017558509,-71.3153045930386
SA,2583090,NA,492,1112,22,29.523809523809526,50,45,480,1110,20,FALSE,FALSE,,,D'Youville Manor,,42.645185,-71.366139
SA,2729431,NA,501.5833333333333,1041.5833333333333,10,59.99999999999999,60.00000000000006,60.000000000000014,480,1110,20,FALSE,FALSE,,,Broadway St & Walker St,,42.6422536164387,-71.3314013280904
SA,2729432,NA,507,1047,10,60,60,60,480,1110,20,FALSE,FALSE,,,Broadway St & School St,,42.6430320007283,-71.3260442334971
SA,2729433,NA,502,1042,10,60,60,60,480,1110,20,FALSE,FALSE,,,Francis Gate,,42.6426387960648,-71.3297325217456
SA,2729434,NA,487,1117,22,30,40,35,480,1110,20,FALSE,FALSE,,,Market Basket Old Ferry Road,,42.641882,-71.3599
SA,2729436,NA,495,1120,22,29.761904761904763,35,35,480,1110,20,FALSE,FALSE,,,Shedd Park,,42.6327686952661,-71.2888179168271
SA,2729437,NA,541,1081,7,90,90,90,480,1110,20,FALSE,FALSE,,,Chelmsford Center,,42.5968271367376,-71.3508489810976
SA,2730030,NA,504,1104,11,60,60,60,480,1110,20,FALSE,FALSE,,,Wentworth Ave & Andover St,,42.6429544309221,-71.2886473769615
SA,2734160,NA,496,1079,20,30.68421052631579,43,43,480,1110,20,FALSE,FALSE,40,,Radisson Hotel,,42.6028239065934,-71.3482024938264
SA,2745401,NA,497,1037,10,60,60,60,480,1110,20,FALSE,FALSE,,,Billerica Business Center,,42.606449,-71.284338
SA,4147995,NA,514.9666666666667,1054.9666666666667,10,60,60,60,480,1110,20,FALSE,FALSE,,,53 Third Ave,,42.487954743255,-71.2252828272728
SA,4147996,NA,541.5833333333334,1081.5833333333333,10,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,,,53 Third Ave,,42.4881016123744,-71.2252112322778
SA,4147997,NA,548,1088,10,60,60,60,480,1110,20,FALSE,FALSE,,,Outside Mitre Facility,,42.5065339085165,-71.2322157023258
SA,4147998,NA,510,1050,10,60,60,60,480,1110,20,FALSE,FALSE,,,Outside Mitre Facility,,42.5064029105808,-71.2324584422437
SA,800711,NA,494,1094,11,60,60,60,480,1110,20,FALSE,FALSE,,,Andover St & Burnham Rd,,42.6462188743028,-71.2722251933834
SA,800713,NA,497,1097,11,60,60,60,480,1110,20,FALSE,FALSE,,,Andover St & Nesmith St,,42.6422166323226,-71.2980164070772
SA,800715,NA,489,1029,10,60,60,60,480,1110,20,FALSE,FALSE,,,Andrews St & Moore St,,42.62819,-71.302209
