DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,stop_lat,stop_lon
SA,0102c992-9895-4ccf-8ea1-d469fefb1dc1,NA,537,981,13,37,102,80.9,480,1110,20,FALSE,FALSE,MB22,Newton and Weed St,,42.346049239996,-71.55065486137
SA,0895529e-8620-49e2-96b7-b2bc7482193b,NA,500,966,6,93.2,105,99.4,480,1110,20,FALSE,FALSE,N57,Avenu at Natick,,42.3010136068471,-71.379806183565
SA,08bddd79-9213-464e-bbb5-226afb92a77a,NA,554.4333333333333,972.0666666666667,8,59.66190476190478,60,60,480,1110,20,FALSE,FALSE,N38,Mathworks Lakeside,,42.302639025607,-71.3758499250322
SA,0a4cc4a9-cd68-46f2-b3ed-28b2147f14fd,NA,495,1044,14,42.23076923076923,94,91,480,1110,20,FALSE,FALSE,F58,Halstead Apartments Rear Parking,,42.2935919340606,-71.4708215874923
SA,0a959b0e-7d4c-4b4c-90b0-72ee387a9387,NA,559.3666666666667,954.5666666666667,7,65.86666666666667,70.20000000000005,67.60000000000002,480,1110,20,FALSE,FALSE,F19,Vernon St & Pleasant St,,42.30080555,-71.43608808
SA,0c31e628-5b24-44fa-808c-f24b81e1edb3,NA,559,995,8,62.285714285714285,97,95.8,480,1110,20,FALSE,FALSE,S3,Downtown Southborough,,42.305753070459,-71.5260227934136
SA,0d563411-d457-4657-9811-baaf24b4cea7,NA,600.5833333333334,998.5833333333334,4,132.66666666666666,135,134.6,480,1110,20,FALSE,FALSE,S8,Central St & Route 30,,42.3021830500474,-71.5096063321594
SA,1960ce3a-fc28-4f04-901e-25703c6a0f40,NA,602,1002,7,66.66666666666667,75,70,480,1110,20,FALSE,FALSE,F42,Arsenal Rd,,42.295707,-71.41065
SA,1b9378ff-35b5-4642-ba52-662ba5384f4a,NA,578,1035,11,45.7,49,48.1,480,1110,20,FALSE,FALSE,F65,Arlington St/Waushakum St,,42.2712209684385,-71.4175287733989
SA,1bdefae5-45ed-4fe7-ab0f-d92b7e1a4320,NA,572,996,8,60.57142857142857,64,61.6,480,1110,20,FALSE,FALSE,F72,Route 9/Beacon St,,42.2982978700577,-71.4088156168947
SA,1ec91042-4319-40bf-b4ed-62d37f2cc0e5,NA,541,991,10,50,56,56,480,1110,20,FALSE,FALSE,MB13,Marlborough Hospital,,42.3537444981184,-71.5548820230294
SA,1f409f79-be89-4902-9cd6-5849c28cc1d9,NA,543,998,11,45.5,48,47.1,480,1110,20,FALSE,FALSE,F60,MCI/Adesa,MCI Adesa,42.2638757386134,-71.4077534620615
SA,2084f27d-e861-4134-8367-842a0e9d8645,NA,530,999,6,93.8,105,100.6,480,1110,20,FALSE,FALSE,N15,Natick Common,,42.28378,-71.34729
SA,266a135e-4851-4d05-8bcf-3b9726df2bc6,NA,548.2,548.2,1,NA,-Inf,NA,480,1110,20,FALSE,NA,F57,Franklin St & Proctor St,,42.2796323764105,-71.4187786828744
SA,2f68e90d-cb3e-4ec3-b2c4-44d403e5748e,NA,514,1015,18,29.470588235294116,54,53,480,1110,20,FALSE,FALSE,N20,9/27 Shopping Plaza,,42.301094,-71.359134
SA,3603c005-0250-4761-b1dc-ecafe6315f58,NA,551,992,14,33.92307692307692,65,61.2,480,1110,20,FALSE,FALSE,F82,Framingham High School,,42.3192003261566,-71.4002124309666
SA,370b8338-7732-415a-accd-cc370c5bcbf0,NA,548,1003,11,45.5,48,47.1,480,1110,20,FALSE,FALSE,F51,Beaver St & Second St,,42.274105,-71.402115
SA,39f836a1-5c3d-434d-80fc-f3131b7c13c0,NA,562,1002,14,33.84615384615385,65,58.2,480,1110,20,FALSE,FALSE,F85,Edmans House,,42.3296850818208,-71.4374870918684
SA,3aafcbf7-e332-4b5b-b805-6a5a422ca195,NA,544,938,5,98.5,102,101.1,480,1110,20,FALSE,FALSE,MB2,Lincoln St & Pleasant St,,42.345905,-71.559561
SA,3b5930ba-f70e-4f74-a74d-a14da1918e43,NA,556,1033,6,95.4,105,103.80000000000001,480,1110,20,FALSE,FALSE,N27,Roche Bros.,,42.282056,-71.376886
SA,3ef7ac24-c8f0-4b6b-a81c-913ae133d342,NA,578,1002,8,60.57142857142857,64,61.6,480,1110,20,FALSE,FALSE,F73,Concord St/ Anzio Rd,,42.2930917020495,-71.4091803973425
SA,4175c54c-36a6-47cc-8f1b-f39575347fd7,NA,564,965,10,44.55555555555556,97,95.4,480,1110,20,FALSE,FALSE,MB5,Solomon Pond Mall,,42.35511,-71.61249
SA,444c6537-938f-4597-ab80-3e067bf0b865,NA,572,1029,22,21.761904761904763,49,47,480,1110,20,FALSE,FALSE,A4,Shaws Supermarket,,42.2407765532003,-71.4325330515226
SA,486fdfee-0b1e-415b-84e6-1f59068f0ffd,NA,531,993,15,33,60,53.900000000000006,480,1110,20,FALSE,FALSE,F43,Walmart,,42.300242,-71.400487
SA,488be29e-7723-4630-bdd5-aee6cf1d4e34,NA,549,1015,8,66.57142857142857,68,68,480,1110,20,FALSE,FALSE,F08,Rt 9 East Park & Ride,,42.2964055714849,-71.4836331596156
SA,48a17140-5009-49fc-96f7-75b0e626891c,NA,504,963,6,91.8,96,95.6,480,1110,20,FALSE,FALSE,F40,Flutie Pass Park and Ride,,42.3007212460471,-71.3909051651302
SA,496776cd-d98a-4704-985c-7f39e018aa3f,NA,617,1013,10,44,100,100,480,1110,20,FALSE,FALSE,MB17,Wayside Inn Store/ Hager St,,42.3516376228117,-71.4875853948346
SA,50f02614-d7ed-4faa-b21f-27c8d21dab28,NA,546,985,14,33.76923076923077,55,54,480,1110,20,FALSE,FALSE,MB9,Broad St / Lincoln St,,42.343861898414,-71.5629380382858
SA,5b5eba65-15c5-4fef-b902-1e297ba4d8e0,NA,565,995,15,30.714285714285715,59,53.5,480,1110,20,FALSE,FALSE,F26,Kohls,,42.302967596231,-71.3972029922726
SA,5bc0337e-0145-41d3-b825-4285af3fbda0,NA,548,988,14,33.84615384615385,65,61.8,480,1110,20,FALSE,FALSE,F22,Super Stop and Shop,,42.30596451,-71.40172177
SA,5ec0f6f9-8492-4516-bb0e-cbc6b5313d1c,NA,570,990,8,60,60,60,480,1110,20,FALSE,FALSE,F67,BJs Wholesale Club ,,42.3069573823784,-71.399089926427
SA,6250e0b1-76d5-4a93-9725-ae0d594d6910,NA,505,1025,40,13.333333333333334,40,34.2,480,1110,20,FALSE,TRUE,N21,Natick Mall - Wegmans,Natick Mall- Wegmans,42.3014669001977,-71.3863507739515
SA,651767dd-06d3-418b-be32-ee1befeff801,NA,495,1034,9,67.375,115,115,480,1110,20,FALSE,FALSE,F11,Framingham State University,,42.29773,-71.43723
SA,6b60b122-63e6-446b-91aa-a6068aba603f,NA,583,980,5,99.25,101,100.7,480,1110,20,FALSE,FALSE,MB20,Apex Entertainment,,42.3376391731286,-71.5916028077366
SA,72eeb424-870f-4754-ab60-975e5776f34d,NA,535,965,10,47.77777777777778,102,96.4,480,1110,20,FALSE,FALSE,MB1,Marlborough City Hall,,42.3468726782127,-71.5458376136921
SA,73a8ce41-f167-402d-880d-7902aa6f4bad,NA,493,959,6,93.2,105,99.4,480,1110,20,FALSE,FALSE,N23,Sherwood Village on Mill St.,,42.2884407513404,-71.3836390604758
SA,76b2f346-87aa-4f7c-b669-bed0672dee06,NA,518,1010,12,44.72727272727273,63,62,480,1110,20,FALSE,FALSE,W1,Oak St,,42.3036113264329,-71.3319703240377
SA,77f43449-c9d4-441a-abf1-6d885a14f6f6,NA,584,1012,8,61.142857142857146,68,63.2,480,1110,20,FALSE,FALSE,F54,Franklin / Mt. Wayte,,42.2900634878912,-71.4286653058926
SA,7c48755d-4bee-4a8d-b4f4-364c172a30e7,NA,579,1019,22,20.952380952380953,56,49,480,1110,20,FALSE,FALSE,F30,Lincoln St & Pearl St,,42.282087,-71.416022
SA,7ca11456-969c-43d0-a3e6-d0b6dcd50a10,NA,550,1005,11,45.5,48,47.1,480,1110,20,FALSE,FALSE,F66,Tarelli Ter/Waverly St,,42.2798053789023,-71.4031118990846
SA,7e3c3f82-c136-40a4-aea1-d2303c9690dd,NA,530,995,12,42.27272727272727,90,90,480,1110,20,FALSE,FALSE,W5,Woodland MBTA Train Station,,42.3331813414801,-71.2431033696594
SA,7f81b88d-02a0-463a-be76-ae4e76d91da1,NA,539,1006,8,66.71428571428571,69,69,480,1110,20,FALSE,FALSE,F14,Staples Drive,,42.2910773629592,-71.4883565299724
SA,82afee5a-a373-4673-b9d0-cab9c40edce6,NA,561,1018,11,45.7,49,49,480,1110,20,FALSE,FALSE,F04,Bethany Hill,,42.268521,-71.432618
SA,82e716bb-1434-4367-87eb-181ea29743e5,NA,548,1022,6,94.8,105,102.6,480,1110,20,FALSE,FALSE,N29,Cedar Terrace,,42.2729281945782,-71.3556958052931
SA,881ad83b-9563-4ae5-8569-032768b27578,NA,554,977,10,47,73,71.4,480,1110,20,FALSE,FALSE,MB18,Hannafords Plaza Marlborough,,42.3397460484353,-71.5916001255274
SA,8836b64d-6492-4cad-aee4-dff14001f563,NA,564,1021,11,45.7,49,49,480,1110,20,FALSE,FALSE,F68,Memorial House (Winthrop & Hollis),,42.2700689595979,-71.4199789714801
SA,8ff6b02f-424d-47ac-bebe-221ff72ad6fe,NA,571,968,7,66.16666666666667,72,68.5,480,1110,20,FALSE,FALSE,F53,Nobscot Shopping Center,,42.3286859589032,-71.4342644175449
SA,971b9fce-55fe-420c-8e6a-550961919153,NA,553,1017,22,22.095238095238095,60,57,480,1110,20,FALSE,FALSE,F15,MetroWest Medical Center,,42.28438494,-71.42004284
SA,973e7245-055e-4757-a16e-259d6e4c6d02,NA,604,1023,10,46.55555555555556,76,76,480,1110,20,FALSE,FALSE,MB14,Post Road Shopping Center,,42.3517931909438,-71.5359979293345
SA,9e7ed194-bd09-401e-9080-631f5fb9e4fa,NA,526,995,6,93.8,105,100.6,480,1110,20,FALSE,FALSE,N44,Moran Park/Downtown MBTA,,42.2854500881106,-71.3477564661358
