stop_id,passing_values,frequent_stop,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
2597088,0,FALSE,,,Bridge St & Livingstone Ave,,42.5502052020573,-70.8938051641689
2597090,0,FALSE,,,Cabot St - Ellis Square YMCA,,42.5492161369004,-70.8779843430412
2597091,0,FALSE,,,Montserrat Station,,42.5618946873959,-70.8689542157384
2729983,0,FALSE,,,650 Washington St,,42.6481022581374,-70.6736344941575
2729984,0,FALSE,,,Washington St & Munsey Ln,,42.6782611863459,-70.6556479144707
2729985,0,FALSE,,,Flanagan Square,,42.615249774754,-70.65616446676
2729986,0,FALSE,,,Rogers St - Dunkin' Donuts,,42.613544802234,-70.6587042688305
2729987,0,FALSE,,,South & Frank St,,42.6351063817982,-70.6113022728562
2729988,0,FALSE,,,Ravenswood Park,,42.591329229395,-70.698871280621
2729989,0,FALSE,,,Western Ave & Stage Fort Park,,42.6085893471641,-70.6780633359527
2729990,0,FALSE,,,Western Ave & Centennial Ave,,42.6101230509956,-70.6728081113264
2729993,0,FALSE,,,Maplewood Ave & Prospect St St,,42.6156541579341,-70.6643301536351
2754935,0,FALSE,,,Bass Ave & E Main St,,42.6171726557133,-70.6488001033641
2754936,0,FALSE,,,Eastern Ave @ Witham St.,,42.6292433635929,-70.6372955024228
2754937,0,FALSE,,,Essex Ave & Gibbs Hill Dr,,42.6142402133688,-70.694019401391
3460636,0,FALSE,,,NorthShore Education Consortium,,42.569392304805604,-70.8788595457585
3460638,0,FALSE,,,Whole Foods Shopping,,42.5730988511098,-70.879196262258
3460639,0,FALSE,,,133 Brimbal Ave Dialysis,,42.5742590980758,-70.8772725402071
3460640,0,FALSE,,,128 Cycles,,42.5715297494344,-70.8752885791225
3460642,0,FALSE,,,Henry's Food Mart,,42.571743870978,-70.8935987186822
3460643,0,FALSE,,,Trask Ln & Folly Hill,,42.5685642413802,-70.907498442901
3460645,0,FALSE,,,Giles Ave,,42.5530575381212,-70.9035006327614
3460646,0,FALSE,,,McPherson Dr & Elliott St,,42.5559783168585,-70.8857557170421
3460647,0,FALSE,,,Beverly Library,,42.551213500289,-70.8764826769488
3460648,0,FALSE,,,Market Basket,,42.5509328333064,-70.9327668707202
3460649,0,FALSE,,,Cabot Plaza,,42.5589889665313,-70.8822133230542
3461010,0,FALSE,,,Bass River Tennis Club,,42.5724691050963,-70.8839648829374
3461011,0,FALSE,,,Futures Behavioral Therapy,,42.5682500142646,-70.8811129149947
4149238,0,FALSE,,,Shalin Liu Performance Center,,42.6583016666867,-70.6189386504845
798299,0,FALSE,,,Addison Gilbert Hospital,,42.6259314,-70.6799482
798300,0,FALSE,,,Annisquam Village Church,,42.66154202,-70.67109183
798301,0,FALSE,,,Annisquam Wooden Bridge,,42.6545542,-70.6739506
798302,0,FALSE,,,Atlantic St & Beach Rds,,42.6164884,-70.6379585
798303,0,FALSE,,,Atlantic St & Grapevine Rds,,42.5973799,-70.6404884
798304,0,FALSE,,,Atlantic St & High Popples Rds,,42.6002216,-70.6362304
798305,0,FALSE,,,Atlantic St & Moorland Rds,,42.6102123,-70.6339853
798306,0,FALSE,,,Atlantic St & Brooks Rd,,42.6375914,-70.7020941
798307,0,FALSE,,,Atlantic St & Castle View Dr,,42.6460618,-70.6981324
798309,0,FALSE,,,Bass Ave & Hartz St,,42.6169996,-70.6459263
798310,0,FALSE,,,Bay View Fire Station,,42.66504483,-70.66797647
798311,0,FALSE,,,Beach & Moorland Rds,,42.6126949,-70.64322
798312,0,FALSE,,,Blackburn Industrial Park,,42.627331,-70.654977
798314,0,FALSE,,,Cape Hedge Inn,,42.641125,-70.600708
798318,0,FALSE,,,Cherry St & Reynard St,,42.6313718,-70.6700046
798319,0,FALSE,,,Cherry St & Cherry Hill Rd,,42.6378422,-70.6703032
798320,0,FALSE,,,Cherry St & Finch Ln,,42.6356802,-70.6687681
798321,0,FALSE,,,Concord St & Atlantic St,,42.6334247,-70.7079343
798322,0,FALSE,,,Concord St & Becker Cir,,42.6279145,-70.7099715
798323,0,FALSE,,,Curtis - Clark Building,,42.6158244,-70.6599199
798324,0,FALSE,,,Destino's,,42.6167835,-70.6573641
798325,0,FALSE,,,Dock Square,,42.65857813,-70.61738533
798326,2,FALSE,,,Dunkin' Donuts,,42.6136316,-70.6592043
798327,0,FALSE,,,Rogers St - Dunkin' Donuts,,42.61368603,-70.65883279
798328,0,FALSE,,,Thatcher Rd & Barn Ln at Vista Hotel,,42.6219524,-70.6387521
798329,1,FALSE,,,East Gloucester Square,,42.6075955,-70.6514924
798330,0,FALSE,,,East Main St & Haskell St,,42.6146499,-70.6477442
798331,0,FALSE,,,East Main St & Rocky Neck Ave,,42.6034725,-70.6545933
798332,0,FALSE,,,East Main St & Bass Ave,,42.6171495,-70.6493001
798333,0,FALSE,,,Eastern Ave & Harrison Ave,,42.620114,-70.6472053
798334,0,FALSE,,,Eastern Ave & Hartz St,,42.6202994,-70.6466225
798335,0,FALSE,,,Eastern Ave & Webster St,,42.619065,-70.6498774
798336,0,FALSE,,,Eastern Point Rd & Grapevine Rd,,42.6010354,-70.6549833
798337,0,FALSE,,,Essex Ave & Fernwood Lake Ave,,42.6155184,-70.6975707
798338,0,FALSE,,,Essex Ave & Magnolia Ave,,42.61071203,-70.70788133
798339,0,FALSE,,,Essex Ave & Concord St,,42.61766504,-70.71135832
798340,0,FALSE,,,Essex Ave & Lawrence Mountain Rd,,42.6230225,-70.7294938
798341,0,FALSE,,,Essex Ave & Edgewood Rd,,42.6138101,-70.6890008
798342,0,FALSE,,,Essex Ave & Fernald St,,42.6220192,-70.7262721
798343,0,FALSE,,,Essex Ave & Forest Ln,,42.6238669,-70.7366911
798344,0,FALSE,,,Essex Ave & New Way Ln,,42.6174769,-70.7146807
798345,0,FALSE,,,Essex Ave & Woodman St,,42.6261137,-70.7456615
798346,0,FALSE,,,Essex Ave & Sumner St,,42.6237685,-70.7360583
798347,0,FALSE,,,Essex Town Line,,42.628692,-70.7503357
798349,0,FALSE,,,Gee Ave & Cherry St,,42.6397882,-70.6699038
798350,0,FALSE,,,Gloucester Ave & Maplewood Ave,,42.6229114,-70.6694124
798351,0,FALSE,,,Gloucester Crossing,,42.62366,-70.661748
798352,0,FALSE,,,Gloucester High School,,42.613532,-70.6751916
798353,0,FALSE,,,Commuter Rail Station - Gloucester,,42.61657151,-70.66754752
798354,0,FALSE,,,Good Harbor Beach,,42.6225644,-70.63198094
798355,0,FALSE,,,Hammond Castle,,42.5856884,-70.6931195
798356,0,FALSE,,,Heights at Cape Ann,,42.6139683,-70.6886748
798358,0,FALSE,,,Lanesville Post Office,,42.67765898,-70.65877859
798359,0,FALSE,,,Langsford St & Andrews St,,42.6790399,-70.6572422
798360,0,FALSE,,,Langsford St & Norseman Ave,,42.68022173,-70.65243531
798361,0,FALSE,,,Langsford St & Rockwood Ln,,42.6812927,-70.64905358
798362,0,FALSE,,,Lexington Ave & Flume Rd,,42.5760471005007,-70.7123213362457
798364,0,FALSE,,,Lincoln Park,,42.6155158,-70.6739164
798365,0,FALSE,,,Long Beach Dairy Maid,,42.6252937888418,-70.6250710379177
798366,0,FALSE,,,Magnolia Ave & Carrie Ln,,42.6055953,-70.7101953
798367,0,FALSE,,,Magnolia Ave & Westbrook Ln,,42.5900062,-70.7192538
798368,0,FALSE,,,Magnolia Square,,42.5772319,-70.7146661
798369,1,FALSE,,,Main St & Pleasant St,,42.612909,-70.6615456
798370,0,FALSE,,,Maplewood Ave & Cleveland St,,42.61880092,-70.66728517
798372,0,FALSE,,,Sheedy Park,,42.6164762668077,-70.6630988081787
798373,0,FALSE,,,McDonalds,,42.6176742,-70.6657687
798374,0,FALSE,,,McPherson Park,,42.614762904496,-70.6664177209412
798375,0,FALSE,,,Millpond Medical Building,,42.6282009,-70.6779186
798376,0,FALSE,,,Niles Beach,,42.5969526,-70.6537327
798380,0,FALSE,,,Pigeon Cove Post Office,,42.676514,-70.624529
798381,0,FALSE,,,Poplar Park,,42.6245296,-70.6697089
