runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100001,c_1589_b_973_d_31,3103,1,1,t_17617_b_973_tn_0,799180,t_17738_b_973_tn_0,799180
100002,c_1589_b_973_d_31,3104,2,1,t_48552_b_973_tn_0,799180,t_17737_b_973_tn_0,799180
100003,c_1589_b_973_d_31,3105,3,1,t_17775_b_973_tn_0,799180,t_34315_b_973_tn_0,799180
100004,c_1589_b_973_d_31,3106,4,1,t_59720_b_973_tn_0,799180,t_59729_b_973_tn_0,799180
100005,c_1589_b_973_d_31,3107,5,1,t_70192_b_973_tn_0,799180,t_33557_b_973_tn_0,799180
100006,c_1589_b_973_d_31,3108,6,1,t_17644_b_973_tn_0,799180,t_67325_b_973_tn_0,799180
100007,c_1589_b_973_d_31,3109,7,1,t_17776_b_973_tn_0,799180,t_41095_b_973_tn_0,799180
100008,c_1589_b_973_d_31,3110,8,1,t_39449_b_973_tn_0,799180,t_52539_b_973_tn_0,799180
100009,c_1589_b_973_d_31,3111,9,1,t_57837_b_973_tn_0,799180,t_28984_b_973_tn_0,799180
100010,c_1589_b_973_d_31,3112,10,1,t_17743_b_973_tn_0,799180,t_52710_b_973_tn_0,799180
100011,c_1589_b_973_d_31,3113,11,1,t_40066_b_973_tn_0,799180,t_39653_b_973_tn_0,799180
100012,c_1589_b_973_d_31,3114,12,1,t_17700_b_973_tn_0,799180,t_34300_b_973_tn_0,799180
100013,c_1589_b_973_d_31,3115,13,1,t_32096_b_973_tn_0,799180,t_29086_b_973_tn_0,799180
100014,c_1589_b_973_d_31,3116,14,1,t_17750_b_973_tn_0,799180,t_42388_b_973_tn_0,799180
100015,c_1589_b_973_d_31,3117,15,1,t_47944_b_973_tn_0,799180,t_77185_b_973_tn_5,799180
100016,c_1589_b_973_d_31,3118,16,1,t_17606_b_973_tn_0,799180,t_77184_b_973_tn_9,799180
100017,c_1589_b_973_d_31,3133,17,1,t_77173_b_973_tn_1,799180,t_77168_b_973_tn_5,799180
100018,c_1589_b_973_d_31,3134,18,1,t_77186_b_973_tn_1,799180,t_77179_b_973_tn_4,799180
100019,c_1589_b_973_d_31,3135,19,1,t_77150_b_973_tn_1,799180,t_77164_b_973_tn_5,799180
100020,c_1589_b_973_d_31,3154,20,1,t_77171_b_973_tn_1,799353,t_77165_b_973_tn_7,799353
100021,c_1589_b_973_d_31,3155,21,1,t_17633_b_973_tn_0,799180,t_56842_b_973_tn_0,799180
100022,c_1589_b_973_d_31,3156,22,1,t_77149_b_973_tn_1,800056,t_77192_b_973_tn_7,800056
100023,c_1589_b_973_d_31,3597,23,1,t_17627_b_973_tn_0,799480,t_17770_b_973_tn_0,799180
100024,c_1589_b_973_d_31,3598,24,1,t_17615_b_973_tn_0,799180,t_17704_b_973_tn_0,799180
100025,c_1589_b_973_d_31,3599,25,1,t_17610_b_973_tn_0,799480,t_17694_b_973_tn_0,799180
100026,c_1589_b_973_d_31,3600,26,1,t_17628_b_973_tn_0,799480,t_17669_b_973_tn_0,799180
100027,c_1589_b_973_d_31,3601,27,1,t_17604_b_973_tn_0,799480,t_60410_b_973_tn_0,799779
100028,c_1589_b_973_d_31,3602,28,1,t_17664_b_973_tn_0,799180,t_17693_b_973_tn_0,799180
100029,c_1589_b_973_d_31,3605,29,1,t_31623_b_973_tn_0,799180,t_17670_b_973_tn_0,799180
100030,c_1589_b_973_d_31,3606,30,1,t_17687_b_973_tn_0,799180,t_17719_b_973_tn_0,799180
100031,c_1589_b_973_d_31,3607,31,1,t_39666_b_973_tn_0,799180,t_17640_b_973_tn_0,799180
100032,c_1589_b_973_d_31,3609,32,1,t_54758_b_973_tn_0,799180,t_17601_b_973_tn_0,799180
100033,c_1589_b_973_d_31,3610,33,1,t_17612_b_973_tn_0,799180,t_17662_b_973_tn_0,799480
100034,c_1589_b_973_d_31,3611,34,1,t_65144_b_973_tn_0,799180,t_17677_b_973_tn_0,799180
100035,c_1589_b_973_d_31,3612,35,1,t_68846_b_973_tn_0,799180,t_17717_b_973_tn_0,799180
100036,c_1589_b_973_d_31,3613,36,1,t_17705_b_973_tn_0,799779,t_17753_b_973_tn_0,799180
100037,c_1589_b_973_d_31,3614,37,1,t_60589_b_973_tn_0,799180,t_17718_b_973_tn_0,799180
100038,c_1589_b_973_d_31,3626,38,1,t_17666_b_973_tn_0,799180,t_17619_b_973_tn_0,799480
100039,c_1589_b_973_d_31,3627,39,1,t_17747_b_973_tn_0,799180,t_17715_b_973_tn_0,799480
100040,c_1589_b_973_d_32,3103,40,1,t_26363_b_973_tn_0,799180,t_47005_b_973_tn_0,799180
100041,c_1589_b_973_d_32,3105,41,1,t_72452_b_973_tn_1,799180,t_72430_b_973_tn_15,799180
100042,c_1589_b_973_d_32,3107,42,1,t_72481_b_973_tn_1,799180,t_72510_b_973_tn_15,799180
100043,c_1589_b_973_d_32,3109,43,1,t_72632_b_973_tn_1,799180,t_72652_b_973_tn_15,799180
100044,c_1589_b_973_d_32,3111,44,1,t_73515_b_973_tn_1,799180,t_73611_b_973_tn_15,799180
100045,c_1589_b_973_d_32,3113,45,1,t_73173_b_973_tn_1,799180,t_73663_b_973_tn_15,799180
100046,c_1589_b_973_d_32,3115,46,1,t_73485_b_973_tn_1,799180,t_72609_b_973_tn_15,799180
100047,c_1589_b_973_d_32,3118,47,1,t_77155_b_973_tn_1,799180,t_77183_b_973_tn_15,799180
100048,c_1589_b_973_d_32,3134,48,1,t_77187_b_973_tn_1,799180,t_77176_b_973_tn_15,799180
100049,c_1589_b_973_d_32,3135,49,1,t_77151_b_973_tn_1,799180,t_77162_b_973_tn_15,799180
100050,c_1589_b_973_d_32,3154,50,1,t_72693_b_973_tn_1,799353,t_73572_b_973_tn_7,799353
100051,c_1589_b_973_d_32,3155,51,1,t_17632_b_973_tn_0,799180,t_58503_b_973_tn_0,799180
100052,c_1589_b_973_d_32,3615,52,1,t_17657_b_973_tn_0,799480,t_25926_b_973_tn_0,799180
100053,c_1589_b_973_d_32,3616,53,1,t_25857_b_973_tn_0,799480,t_65609_b_973_tn_0,799180
100054,c_1589_b_973_d_32,3617,54,1,t_71096_b_973_tn_0,799480,t_17655_b_973_tn_0,799180
100055,c_1589_b_973_d_32,3618,55,1,t_17613_b_973_tn_0,799180,t_17671_b_973_tn_0,799180
100056,c_1589_b_973_d_32,3619,56,1,t_17684_b_973_tn_0,799180,t_17701_b_973_tn_0,799480
