trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,area_id,service_area_radius,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off
t_17600_b_973_tn_0,14:30:00,14:30:00,799779,1,,0,0,0,1,,,,,,,1,1
t_17600_b_973_tn_0,,,799780,2,,0,0,164.650967445285,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799781,3,,0,0,302.080012569416,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799782,4,,0,0,391.925377517832,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799783,5,,0,0,625.708930545595,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799784,6,,0,0,844.656583627537,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799785,7,,0,0,1128.80195506564,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799786,8,,0,0,1236.03158130898,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799787,9,,0,0,1311.6360020982,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799788,10,,0,0,1500.17887836043,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799789,11,,0,0,1746.08167723256,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799790,12,,0,0,1860.94621982516,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799791,13,,0,0,2032.66688227625,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799792,14,,0,0,2307.90637271297,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799793,15,,0,0,2549.55054594124,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799794,16,,0,0,2747.52898234552,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799795,17,,0,0,2930.38085021599,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799796,18,,0,0,3436.80561344986,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799797,19,,0,0,3507.91462045986,0,,,,,,,1,1
t_17600_b_973_tn_0,,,799798,20,,0,0,3641.95849701798,0,,,,,,,1,1
