timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,799180,1,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
1,799391,2,Crescent Street and Otis Street,5/Brockton Hospital via Centre Street
1,799392,3,Crescent Street near Summer Street,5/Brockton Hospital via Centre Street
1,807105,4,Lyman Street and Erie Avenue,5/Brockton Hospital via Centre Street
1,799394,5,Lyman Street and Wendell Avenue,5/Brockton Hospital via Centre Street
1,799395,6,Lyman Street and Centre Street,5/Brockton Hospital via Centre Street
1,799396,7,Centre Street and Kingman Street,5/Brockton Hospital via Centre Street
1,799397,8,Centre Street and Hill Street,5/Brockton Hospital via Centre Street
1,799398,9,Centre Street and Glandstone Street,5/Brockton Hospital via Centre Street
1,799399,10,Centre Street at Plaza,5/Brockton Hospital via Centre Street
1,799400,11,Centre Street and Galen Street,5/Brockton Hospital via Centre Street
1,799401,12,Centre Street and Brockton Avenue,5/Brockton Hospital via Centre Street
1,799402,13,Brockton Hospital,5/Brockton Hospital via Centre Street
1,799403,14,Centre Street and Sterling Road,5/Brockton Hospital via Centre Street
1,799404,15,Libby Street and Centre Street,5/Brockton Hospital via Centre Street
1,799405,16,Libby Street and Quincy Avenue,5/Brockton Hospital via Centre Street
1,799407,17,Quincy Street at Doctors Building,5/Brockton Hospital via Centre Street
1,799408,18,Centre Street at Guild Road,5/Brockton Hospital via Centre Street
1,799409,19,Centre Street at Harold St-Ames Road,5/Brockton Hospital via Centre Street
1,799410,20,Centre St./Edward St.,5/Brockton Hospital via Centre Street
1,799411,21,Wal-Mart,"5/Brockton Hospital via Centre Street, RF/Rockland Flex"
2,799180,1,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
2,799391,2,Crescent Street and Otis Street,5/Brockton Hospital via Centre Street
2,799392,3,Crescent Street near Summer Street,5/Brockton Hospital via Centre Street
2,807105,4,Lyman Street and Erie Avenue,5/Brockton Hospital via Centre Street
2,799394,5,Lyman Street and Wendell Avenue,5/Brockton Hospital via Centre Street
2,799395,6,Lyman Street and Centre Street,5/Brockton Hospital via Centre Street
2,799396,7,Centre Street and Kingman Street,5/Brockton Hospital via Centre Street
2,799397,8,Centre Street and Hill Street,5/Brockton Hospital via Centre Street
2,799398,9,Centre Street and Glandstone Street,5/Brockton Hospital via Centre Street
2,799399,10,Centre Street at Plaza,5/Brockton Hospital via Centre Street
