timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
1,2938,0,20150101,20190101,0,0,0,0,0,0,1,Brockton Hospital via Centre Street,Year Round Service (Sunday only),Eastbound,horizontal
2,2938,0,20150101,20190101,0,0,0,0,0,1,0,Brockton Hospital via Centre Street,Year Round Service (Saturday only),Eastbound,horizontal
3,2938,0,20150101,20190101,1,1,1,1,1,0,0,Brockton Hospital via Centre Street,Year Round Service (Monday-Friday),Eastbound,horizontal
4,2938,1,20150101,20190101,0,0,0,0,0,0,1,Brockton Hospital via Centre Street,Year Round Service (Sunday only),Westbound,horizontal
5,2938,1,20150101,20190101,0,0,0,0,0,1,0,Brockton Hospital via Centre Street,Year Round Service (Saturday only),Westbound,horizontal
6,2938,1,20150101,20190101,1,1,1,1,1,0,0,Brockton Hospital via Centre Street,Year Round Service (Monday-Friday),Westbound,horizontal
7,2943,0,20150101,20190101,0,0,0,0,0,0,1,Cary Hill & The Village,Year Round Service (Sunday only),Northbound,horizontal
8,2943,0,20150101,20190101,0,0,0,0,0,1,0,Cary Hill & The Village,Year Round Service (Saturday only),Northbound,horizontal
9,2943,0,20150101,20190101,1,1,1,1,1,0,0,Cary Hill & The Village,Year Round Service (Monday-Friday),Northbound,horizontal
10,2943,1,20150101,20190101,0,0,0,0,0,0,1,Cary Hill & The Village,Year Round Service (Sunday only),Southbound,horizontal
11,2943,1,20150101,20190101,0,0,0,0,0,1,0,Cary Hill & The Village,Year Round Service (Saturday only),Southbound,horizontal
12,2943,1,20150101,20190101,1,1,1,1,1,0,0,Cary Hill & The Village,Year Round Service (Monday-Friday),Southbound,horizontal
13,2942,0,20150101,20190101,0,0,0,0,0,0,1,Lisa & Howard via N Quincy & Court,Year Round Service (Sunday only),Northbound,horizontal
14,2942,0,20150101,20190101,0,0,0,0,0,1,0,Lisa & Howard via N Quincy & Court,Year Round Service (Saturday only),Northbound,horizontal
